step,epoch,train_loss_step,lr-Adam,val_loss,train_loss_epoch,test_loss
5056,,,0.001,,,
5099,,,0.001,,,
5099,79,0.2649152874946594,,,,
5119,79,,,0.04712657630443573,,
5119,79,,,,0.23902100324630737,
5120,,,0.001,,,
5149,,,0.001,,,
5149,80,0.29357999563217163,,,,
5183,80,,,0.043841321021318436,,
5183,80,,,,0.2424294352531433,
5184,,,0.001,,,
5199,,,0.001,,,
5199,81,0.21438604593276978,,,,
5247,81,,,0.04348578676581383,,
5247,81,,,,0.23990419507026672,
5248,,,0.001,,,
5249,,,0.001,,,
5249,82,0.2393287867307663,,,,
5299,,,0.001,,,
5299,82,0.27445080876350403,,,,
5311,82,,,0.04386422038078308,,
5311,82,,,,0.24137204885482788,
5312,,,0.001,,,
5349,,,0.001,,,
5349,83,0.23480910062789917,,,,
5375,83,,,0.045779407024383545,,
5375,83,,,,0.23776857554912567,
5376,,,0.001,,,
5399,,,0.001,,,
5399,84,0.25825440883636475,,,,
5439,84,,,0.044631313532590866,,
5439,84,,,,0.2404104471206665,
5440,,,0.001,,,
5449,,,0.001,,,
5449,85,0.24449560046195984,,,,
5499,,,0.001,,,
5499,85,0.31304505467414856,,,,
5503,85,,,0.04652876779437065,,
5503,85,,,,0.24157606065273285,
5504,,,0.001,,,
5549,,,0.001,,,
5549,86,0.17434249818325043,,,,
5567,86,,,0.04517647996544838,,
5567,86,,,,0.2418958842754364,
5568,,,0.001,,,
5599,,,0.001,,,
5599,87,0.26478591561317444,,,,
5631,87,,,0.04277081415057182,,
5631,87,,,,0.23888279497623444,
5632,,,0.001,,,
5649,,,0.001,,,
5649,88,0.16835203766822815,,,,
5695,88,,,0.045292265713214874,,
5695,88,,,,0.2418951839208603,
5696,,,0.001,,,
5699,,,0.001,,,
5699,89,0.21831442415714264,,,,
5749,,,0.001,,,
5749,89,0.1988646239042282,,,,
5759,89,,,0.04878335818648338,,
5759,89,,,,0.2395600825548172,
5760,,,0.001,,,
5799,,,0.001,,,
5799,90,0.3383488059043884,,,,
5823,90,,,0.04893118888139725,,
5823,90,,,,0.23837758600711823,
5824,,,0.001,,,
5849,,,0.001,,,
5849,91,0.27064961194992065,,,,
5887,91,,,0.04244564473628998,,
5887,91,,,,0.24016143381595612,
5888,,,0.001,,,
5899,,,0.001,,,
5899,92,0.31200236082077026,,,,
5949,,,0.001,,,
5949,92,0.26609712839126587,,,,
5951,92,,,0.042696911841630936,,
5951,92,,,,0.23805877566337585,
5952,,,0.001,,,
5999,,,0.001,,,
5999,93,0.31312376260757446,,,,
6015,93,,,0.04485815018415451,,
6015,93,,,,0.23906856775283813,
6016,,,0.001,,,
6049,,,0.001,,,
6049,94,0.2639668881893158,,,,
