lr-Adam,train_loss_step,epoch,step,val_loss,train_loss_epoch,test_loss
0.001,,,3200,,,
0.001,,,3249,,,
,0.2810303866863251,50,3249,,,
,,50,3263,0.03067883476614952,,
,,50,3263,,0.2208424061536789,
0.001,,,3264,,,
0.001,,,3299,,,
,0.13582031428813934,51,3299,,,
,,51,3327,0.026185376569628716,,
,,51,3327,,0.2175857573747635,
0.001,,,3328,,,
0.001,,,3349,,,
,0.20979122817516327,52,3349,,,
,,52,3391,0.026485377922654152,,
,,52,3391,,0.22059091925621033,
0.001,,,3392,,,
0.001,,,3399,,,
,0.18192224204540253,53,3399,,,
0.001,,,3449,,,
,0.21642789244651794,53,3449,,,
,,53,3455,0.02725529856979847,,
,,53,3455,,0.2177552729845047,
0.001,,,3456,,,
0.001,,,3499,,,
,0.19101645052433014,54,3499,,,
,,54,3519,0.02700277790427208,,
,,54,3519,,0.21782058477401733,
0.001,,,3520,,,
0.001,,,3549,,,
,0.19830955564975739,55,3549,,,
,,55,3583,0.026413019746541977,,
,,55,3583,,0.21798460185527802,
0.001,,,3584,,,
0.001,,,3599,,,
,0.30428171157836914,56,3599,,,
,,56,3647,0.02634836919605732,,
,,56,3647,,0.2168280929327011,
0.001,,,3648,,,
0.001,,,3649,,,
,0.23966242372989655,57,3649,,,
0.001,,,3699,,,
,0.32025909423828125,57,3699,,,
,,57,3711,0.02685817889869213,,
,,57,3711,,0.21773973107337952,
0.001,,,3712,,,
0.001,,,3749,,,
,0.19876159727573395,58,3749,,,
,,58,3775,0.030096370726823807,,
,,58,3775,,0.21677593886852264,
0.001,,,3776,,,
0.001,,,3799,,,
,0.2062942534685135,59,3799,,,
,,59,3839,0.027498872950673103,,
,,59,3839,,0.217504620552063,
0.001,,,3840,,,
0.001,,,3849,,,
,0.17663031816482544,60,3849,,,
0.001,,,3899,,,
,0.23881351947784424,60,3899,,,
,,60,3903,0.027119357138872147,,
,,60,3903,,0.21766361594200134,
0.001,,,3904,,,
0.001,,,3949,,,
,0.13388773798942566,61,3949,,,
,,61,3967,0.026245277374982834,,
,,61,3967,,0.21770086884498596,
0.001,,,3968,,,
0.001,,,3999,,,
,0.25902697443962097,62,3999,,,
,,62,4031,0.025538291782140732,,
,,62,4031,,0.21764549612998962,
0.001,,,4032,,,
0.001,,,4049,,,
,0.16797803342342377,63,4049,,,
,,63,4095,0.025734804570674896,,
,,63,4095,,0.21750454604625702,
0.001,,,4096,,,
0.001,,,4099,,,
,0.17444945871829987,64,4099,,,
0.001,,,4149,,,
,0.21264079213142395,64,4149,,,
,,64,4159,0.02560483291745186,,
,,64,4159,,0.217379629611969,
0.001,,,4160,,,
0.001,,,4199,,,
,0.2874922752380371,65,4199,,,
,,65,4223,0.025735581293702126,,
,,65,4223,,0.218009352684021,
0.001,,,4224,,,
0.001,,,4249,,,
,0.2232927680015564,66,4249,,,
,,66,4287,0.025321077555418015,,
,,66,4287,,0.2166263312101364,
0.001,,,4288,,,
0.001,,,4299,,,
,0.186911478638649,67,4299,,,
0.001,,,4349,,,
,0.2371421903371811,67,4349,,,
,,67,4351,0.026918046176433563,,
,,67,4351,,0.21368908882141113,
0.001,,,4352,,,
0.001,,,4399,,,
,0.23441985249519348,68,4399,,,
,,68,4415,0.025143001228570938,,
,,68,4415,,0.2159128189086914,
0.001,,,4416,,,
0.001,,,4449,,,
,0.26652225852012634,69,4449,,,
,,69,4479,0.026308787986636162,,
,,69,4479,,0.2162526398897171,
0.001,,,4480,,,
0.001,,,4499,,,
,0.09109741449356079,70,4499,,,
,,70,4543,0.02526773326098919,,
,,70,4543,,0.21890611946582794,
0.001,,,4544,,,
0.001,,,4549,,,
,0.1869777888059616,71,4549,,,
0.001,,,4599,,,
,0.24077706038951874,71,4599,,,
,,71,4607,0.030340688303112984,,
,,71,4607,,0.21492746472358704,
0.001,,,4608,,,
0.001,,,4649,,,
,0.2405625879764557,72,4649,,,
,,72,4671,0.02492346800863743,,
,,72,4671,,0.2172064334154129,
0.001,,,4672,,,
0.001,,,4699,,,
,0.17953360080718994,73,4699,,,
,,73,4735,0.025989118963479996,,
,,73,4735,,0.21668031811714172,
0.001,,,4736,,,
0.001,,,4749,,,
,0.15922509133815765,74,4749,,,
0.001,,,4799,,,
,0.16393117606639862,74,4799,,,
,,74,4799,0.027247536927461624,,
,,74,4799,,0.21901951730251312,
0.001,,,4800,,,
0.001,,,4849,,,
,0.2940142750740051,75,4849,,,
,,75,4863,0.03055901639163494,,
,,75,4863,,0.21832963824272156,
0.001,,,4864,,,
0.001,,,4899,,,
,0.2530651390552521,76,4899,,,
,,76,4927,0.02561967633664608,,
,,76,4927,,0.21811987459659576,
0.001,,,4928,,,
0.001,,,4949,,,
,0.27165529131889343,77,4949,,,
,,77,4991,0.02557007595896721,,
,,77,4991,,0.21500979363918304,
0.001,,,4992,,,
0.001,,,4999,,,
,0.24886222183704376,78,4999,,,
0.001,,,5049,,,
,0.23715749382972717,78,5049,,,
,,78,5055,0.024842185899615288,,
,,78,5055,,0.21467797458171844,
0.001,,,5056,,,
0.001,,,5099,,,
,0.24172845482826233,79,5099,,,
,,79,5119,0.025046348571777344,,
,,79,5119,,0.21581843495368958,
0.001,,,5120,,,
0.001,,,5149,,,
,0.21431462466716766,80,5149,,,
,,80,5183,0.02689405344426632,,
,,80,5183,,0.21546676754951477,
0.001,,,5184,,,
0.001,,,5199,,,
,0.1885605752468109,81,5199,,,
,,81,5247,0.025987407192587852,,
,,81,5247,,0.2140522003173828,
0.001,,,5248,,,
0.001,,,5249,,,
,0.2723296880722046,82,5249,,,
0.001,,,5299,,,
,0.20382149517536163,82,5299,,,
,,82,5311,0.02589317224919796,,
,,82,5311,,0.21515217423439026,
0.001,,,5312,,,
0.001,,,5349,,,
,0.17347081005573273,83,5349,,,
,,83,5375,0.029380328953266144,,
,,83,5375,,0.21173638105392456,
0.001,,,5376,,,
0.001,,,5399,,,
,0.2620139718055725,84,5399,,,
,,84,5439,0.02561250887811184,,
,,84,5439,,0.215084046125412,
0.001,,,5440,,,
0.001,,,5449,,,
,0.2640407681465149,85,5449,,,
0.001,,,5499,,,
,0.1479617953300476,85,5499,,,
,,85,5503,0.024732040241360664,,
,,85,5503,,0.214860200881958,
0.001,,,5504,,,
0.001,,,5549,,,
,0.2331455945968628,86,5549,,,
,,86,5567,0.024770226329565048,,
,,86,5567,,0.21485458314418793,
0.001,,,5568,,,
0.001,,,5599,,,
,0.16854067146778107,87,5599,,,
,,87,5631,0.02443801611661911,,
,,87,5631,,0.21542182564735413,
0.001,,,5632,,,
0.001,,,5649,,,
,0.22332513332366943,88,5649,,,
,,88,5695,0.023780373856425285,,
,,88,5695,,0.21354573965072632,
0.001,,,5696,,,
0.001,,,5699,,,
,0.36245471239089966,89,5699,,,
0.001,,,5749,,,
,0.29230526089668274,89,5749,,,
,,89,5759,0.025101304054260254,,
,,89,5759,,0.2126065045595169,
0.001,,,5760,,,
0.001,,,5799,,,
,0.2153361439704895,90,5799,,,
,,90,5823,0.025296570733189583,,
,,90,5823,,0.2113521844148636,
0.001,,,5824,,,
0.001,,,5849,,,
,0.14605045318603516,91,5849,,,
,,91,5887,0.02706029824912548,,
,,91,5887,,0.21349194645881653,
0.001,,,5888,,,
0.001,,,5899,,,
,0.19564682245254517,92,5899,,,
0.001,,,5949,,,
,0.31189125776290894,92,5949,,,
,,92,5951,0.024570312350988388,,
,,92,5951,,0.21594174206256866,
0.001,,,5952,,,
0.001,,,5999,,,
,0.12476670742034912,93,5999,,,
,,93,6015,0.027453722432255745,,
,,93,6015,,0.21201258897781372,
0.001,,,6016,,,
0.001,,,6049,,,
,0.12247808277606964,94,6049,,,
,,94,6079,0.025624778121709824,,
,,94,6079,,0.214105486869812,
0.001,,,6080,,,
0.001,,,6099,,,
,0.0973496213555336,95,6099,,,
,,95,6143,0.0241922028362751,,
,,95,6143,,0.21277503669261932,
0.001,,,6144,,,
0.001,,,6149,,,
,0.3274221122264862,96,6149,,,
0.001,,,6199,,,
,0.22020308673381805,96,6199,,,
,,96,6207,0.026916755363345146,,
,,96,6207,,0.21416977047920227,
0.001,,,6208,,,
0.001,,,6249,,,
,0.16325640678405762,97,6249,,,
,,97,6271,0.024341875687241554,,
,,97,6271,,0.21555723249912262,
0.001,,,6272,,,
0.001,,,6299,,,
,0.24583320319652557,98,6299,,,
,,98,6335,0.024195929989218712,,
,,98,6335,,0.2155655473470688,
0.001,,,6336,,,
0.001,,,6349,,,
,0.20840954780578613,99,6349,,,
0.001,,,6399,,,
,0.1795751303434372,99,6399,,,
,,99,6399,0.02460986003279686,,
,,99,6399,,0.21256309747695923,
0.001,,,6400,,,
0.001,,,6449,,,
,0.2012086659669876,100,6449,,,
,,100,6463,0.024037029594182968,,
,,100,6463,,0.2128317654132843,
0.001,,,6464,,,
0.001,,,6499,,,
,0.22887885570526123,101,6499,,,
,,101,6527,0.023607848212122917,,
,,101,6527,,0.21380849182605743,
0.001,,,6528,,,
0.001,,,6549,,,
,0.27579668164253235,102,6549,,,
,,102,6591,0.024533269926905632,,
,,102,6591,,0.21260303258895874,
0.001,,,6592,,,
0.001,,,6599,,,
,0.22477863729000092,103,6599,,,
0.001,,,6649,,,
,0.2690151333808899,103,6649,,,
,,103,6655,0.02492569386959076,,
,,103,6655,,0.21454134583473206,
0.001,,,6656,,,
0.001,,,6699,,,
,0.23403392732143402,104,6699,,,
,,104,6719,0.02426040917634964,,
,,104,6719,,0.2133641391992569,
0.001,,,6720,,,
0.001,,,6749,,,
,0.15666089951992035,105,6749,,,
,,105,6783,0.024514611810445786,,
,,105,6783,,0.21303091943264008,
0.001,,,6784,,,
0.001,,,6799,,,
,0.21975134313106537,106,6799,,,
,,106,6847,0.023898104205727577,,
,,106,6847,,0.2135312259197235,
0.001,,,6848,,,
0.001,,,6849,,,
,0.20201188325881958,107,6849,,,
0.001,,,6899,,,
,0.20102559030056,107,6899,,,
,,107,6911,0.024837704375386238,,
,,107,6911,,0.21180100739002228,
0.001,,,6912,,,
0.001,,,6949,,,
,0.2449636161327362,108,6949,,,
,,108,6975,0.024204401299357414,,
,,108,6975,,0.2143145501613617,
0.001,,,6976,,,
0.001,,,6999,,,
,0.14267803728580475,109,6999,,,
,,109,7039,0.02527175471186638,,
,,109,7039,,0.2130141258239746,
0.001,,,7040,,,
0.001,,,7049,,,
,0.251678466796875,110,7049,,,
0.001,,,7099,,,
,0.2200184166431427,110,7099,,,
,,110,7103,0.02404337003827095,,
,,110,7103,,0.2127939909696579,
0.001,,,7104,,,
0.001,,,7149,,,
,0.28710871934890747,111,7149,,,
,,111,7167,0.02380959317088127,,
,,111,7167,,0.21218667924404144,
0.001,,,7168,,,
0.001,,,7199,,,
,0.2663589417934418,112,7199,,,
,,112,7231,0.02609551139175892,,
,,112,7231,,0.21209463477134705,
0.001,,,7232,,,
0.001,,,7249,,,
,0.26602986454963684,113,7249,,,
,,113,7295,0.025147695094347,,
,,113,7295,,0.21425694227218628,
0.001,,,7296,,,
0.001,,,7299,,,
,0.15942759811878204,114,7299,,,
0.001,,,7349,,,
,0.17393779754638672,114,7349,,,
,,114,7359,0.025125840678811073,,
,,114,7359,,0.21384312212467194,
0.001,,,7360,,,
0.001,,,7399,,,
,0.272537499666214,115,7399,,,
,,115,7423,0.027092186734080315,,
,,115,7423,,0.21410980820655823,
0.001,,,7424,,,
0.001,,,7449,,,
,0.25072216987609863,116,7449,,,
,,116,7487,0.02394529990851879,,
,,116,7487,,0.2094387710094452,
0.001,,,7488,,,
0.001,,,7499,,,
,0.22513923048973083,117,7499,,,
0.001,,,7549,,,
,0.30994874238967896,117,7549,,,
,,117,7551,0.024625247344374657,,
,,117,7551,,0.2120983600616455,
0.001,,,7552,,,
0.001,,,7599,,,
,0.2963482141494751,118,7599,,,
,,118,7615,0.024324186146259308,,
,,118,7615,,0.21315278112888336,
0.001,,,7616,,,
0.001,,,7649,,,
,0.16865384578704834,119,7649,,,
,,119,7679,0.030738625675439835,,
,,119,7679,,0.21243175864219666,
0.001,,,7680,,,
0.001,,,7699,,,
,0.2366744875907898,120,7699,,,
,,120,7743,0.02340293489396572,,
