step,epoch,lr-Adam,train_loss_step,val_loss,train_loss_epoch,test_loss
3391,52,,,,0.25773346424102783,
3392,,0.001,,,,
3399,,0.001,,,,
3399,53,,0.3013850450515747,,,
3449,,0.001,,,,
3449,53,,0.18681329488754272,,,
3455,53,,,0.05385858938097954,,
3455,53,,,,0.2563626766204834,
3456,,0.001,,,,
3499,,0.001,,,,
3499,54,,0.3086082339286804,,,
3519,54,,,0.05394872650504112,,
3519,54,,,,0.25429391860961914,
3520,,0.001,,,,
3549,,0.001,,,,
3549,55,,0.21003979444503784,,,
3583,55,,,0.05348482355475426,,
3583,55,,,,0.25239992141723633,
3584,,0.001,,,,
3599,,0.001,,,,
3599,56,,0.23190653324127197,,,
3647,56,,,0.05321187898516655,,
3647,56,,,,0.2572031617164612,
3648,,0.001,,,,
3649,,0.001,,,,
3649,57,,0.2178095281124115,,,
3699,,0.001,,,,
3699,57,,0.3807085156440735,,,
3711,57,,,0.05540401116013527,,
3711,57,,,,0.2530289888381958,
3712,,0.001,,,,
3749,,0.001,,,,
3749,58,,0.2847437858581543,,,
3775,58,,,0.0522635281085968,,
3775,58,,,,0.25342264771461487,
3776,,0.001,,,,
3799,,0.001,,,,
3799,59,,0.24726690351963043,,,
3839,59,,,0.05297050252556801,,
3839,59,,,,0.2541114091873169,
3840,,0.001,,,,
3849,,0.001,,,,
3849,60,,0.3043121099472046,,,
3899,,0.001,,,,
3899,60,,0.2628183960914612,,,
3903,60,,,0.05353325605392456,,
3903,60,,,,0.2520532011985779,
3904,,0.001,,,,
3949,,0.001,,,,
3949,61,,0.2678278386592865,,,
3967,61,,,0.05244600400328636,,
3967,61,,,,0.25160354375839233,
3968,,0.001,,,,
3999,,0.001,,,,
3999,62,,0.27899062633514404,,,
4031,62,,,0.0528593584895134,,
4031,62,,,,0.2541826665401459,
4032,,0.001,,,,
4049,,0.001,,,,
4049,63,,0.21108131110668182,,,
4095,63,,,0.057782016694545746,,
4095,63,,,,0.25319987535476685,
4096,,0.001,,,,
4099,,0.001,,,,
4099,64,,0.19064463675022125,,,
4149,,0.001,,,,
4149,64,,0.28519660234451294,,,
4159,64,,,0.05613682419061661,,
4159,64,,,,0.2541443109512329,
4160,,0.001,,,,
4199,,0.001,,,,
4199,65,,0.330478310585022,,,
4223,65,,,0.052524518221616745,,
4223,65,,,,0.25230711698532104,
4224,,0.001,,,,
4249,,0.001,,,,
4249,66,,0.26592156291007996,,,
4287,66,,,0.053717680275440216,,
4287,66,,,,0.24952872097492218,
4288,,0.001,,,,
4299,,0.001,,,,
4299,67,,0.3179427981376648,,,
4349,,0.001,,,,
4349,67,,0.22057576477527618,,,
4351,67,,,0.05177272483706474,,
4351,67,,,,0.2538464069366455,
4352,,0.001,,,,
4399,,0.001,,,,
4399,68,,0.3463631868362427,,,
4415,68,,,0.05424491688609123,,
4415,68,,,,0.2514495551586151,
4416,,0.001,,,,
4449,,0.001,,,,
4449,69,,0.2606476843357086,,,
4479,69,,,0.05232641100883484,,
4479,69,,,,0.25221356749534607,
4480,,0.001,,,,
4499,,0.001,,,,
4499,70,,0.21294660866260529,,,
4543,70,,,0.052018988877534866,,
4543,70,,,,0.2502158582210541,
4544,,0.001,,,,
4549,,0.001,,,,
4549,71,,0.21063604950904846,,,
4599,,0.001,,,,
4599,71,,0.20064716041088104,,,
4607,71,,,0.051628366112709045,,
4607,71,,,,0.25196367502212524,
4608,,0.001,,,,
4649,,0.001,,,,
4649,72,,0.30248206853866577,,,
4671,72,,,0.0510982945561409,,
4671,72,,,,0.25401270389556885,
4672,,0.001,,,,
4699,,0.001,,,,
4699,73,,0.18942195177078247,,,
4735,73,,,0.052733153104782104,,
4735,73,,,,0.2487674355506897,
4736,,0.001,,,,
4749,,0.001,,,,
4749,74,,0.22625087201595306,,,
4799,,0.001,,,,
4799,74,,0.23660121858119965,,,
4799,74,,,0.05036722123622894,,
4799,74,,,,0.2512020170688629,
4800,,0.001,,,,
4849,,0.001,,,,
4849,75,,0.22754397988319397,,,
4863,75,,,0.050218965858221054,,
4863,75,,,,0.25069019198417664,
4864,,0.001,,,,
4899,,0.001,,,,
4899,76,,0.2576958239078522,,,
4927,76,,,0.05241578072309494,,
4927,76,,,,0.24867714941501617,
4928,,0.001,,,,
4949,,0.001,,,,
4949,77,,0.18524038791656494,,,
4991,77,,,0.055270470678806305,,
4991,77,,,,0.2516041398048401,
4992,,0.001,,,,
4999,,0.001,,,,
4999,78,,0.2508111596107483,,,
5049,,0.001,,,,
5049,78,,0.23324672877788544,,,
5055,78,,,0.05149964615702629,,
5055,78,,,,0.25395116209983826,
5056,,0.001,,,,
5099,,0.001,,,,
5099,79,,0.2740899920463562,,,
5119,79,,,0.05329151824116707,,
5119,79,,,,0.248178631067276,
5120,,0.001,,,,
5149,,0.001,,,,
5149,80,,0.2988024055957794,,,
5183,80,,,0.05184280499815941,,
5183,80,,,,0.2512095868587494,
5184,,0.001,,,,
5199,,0.001,,,,
5199,81,,0.21951520442962646,,,
5247,81,,,0.05222207307815552,,
5247,81,,,,0.2488720864057541,
5248,,0.001,,,,
5249,,0.001,,,,
5249,82,,0.24947574734687805,,,
5299,,0.001,,,,
5299,82,,0.28536665439605713,,,
5311,82,,,0.04942627251148224,,
5311,82,,,,0.24943585693836212,
5312,,0.001,,,,
5349,,0.001,,,,
5349,83,,0.2361321896314621,,,
5375,83,,,0.055383238941431046,,
5375,83,,,,0.24637138843536377,
5376,,0.001,,,,
5399,,0.001,,,,
5399,84,,0.26781800389289856,,,
5439,84,,,0.050861459225416183,,
5439,84,,,,0.24917836487293243,
5440,,0.001,,,,
5449,,0.001,,,,
5449,85,,0.2549985647201538,,,
5499,,0.001,,,,
5499,85,,0.318627268075943,,,
5503,85,,,0.05121622234582901,,
5503,85,,,,0.2480820119380951,
5504,,0.001,,,,
5549,,0.001,,,,
5549,86,,0.18359944224357605,,,
5567,86,,,0.05369989573955536,,
5567,86,,,,0.2487269937992096,
5568,,0.001,,,,
5599,,0.001,,,,
5599,87,,0.2745521664619446,,,
5631,87,,,0.05124064162373543,,
5631,87,,,,0.24884633719921112,
5632,,0.001,,,,
5649,,0.001,,,,
5649,88,,0.17487365007400513,,,
5695,88,,,0.04961901530623436,,
5695,88,,,,0.25186261534690857,
5696,,0.001,,,,
5699,,0.001,,,,
5699,89,,0.22864404320716858,,,
5749,,0.001,,,,
5749,89,,0.21028263866901398,,,
5759,89,,,0.0532539077103138,,
5759,89,,,,0.24914492666721344,
5760,,0.001,,,,
5799,,0.001,,,,
5799,90,,0.3497718572616577,,,
5823,90,,,0.05436936020851135,,
5823,90,,,,0.24681371450424194,
5824,,0.001,,,,
5849,,0.001,,,,
5849,91,,0.27840834856033325,,,
5887,91,,,0.05027608200907707,,
5887,91,,,,0.2491920292377472,
5888,,0.001,,,,
5899,,0.001,,,,
5899,92,,0.3226243257522583,,,
5949,,0.001,,,,
5949,92,,0.2713117003440857,,,
5951,92,,,0.05098447576165199,,
5951,92,,,,0.24672718346118927,
5952,,0.001,,,,
5999,,0.001,,,,
5999,93,,0.3242707848548889,,,
6015,93,,,0.054426249116659164,,
6015,93,,,,0.2491149753332138,
6016,,0.001,,,,
6049,,0.001,,,,
6049,94,,0.27499738335609436,,,
6079,94,,,0.049273423850536346,,
6079,94,,,,0.24840307235717773,
6080,,0.001,,,,
6099,,0.001,,,,
6099,95,,0.13966329395771027,,,
6143,95,,,0.049760568886995316,,
6143,95,,,,0.24836409091949463,
6144,,0.001,,,,
6149,,0.001,,,,
6149,96,,0.15848368406295776,,,
6199,,0.001,,,,
6199,96,,0.23929190635681152,,,
6207,96,,,0.04966535419225693,,
6207,96,,,,0.24790889024734497,
6208,,0.001,,,,
6249,,0.001,,,,
6249,97,,0.3419640362262726,,,
6271,97,,,0.05269695818424225,,
6271,97,,,,0.24716150760650635,
6272,,0.001,,,,
6299,,0.001,,,,
6299,98,,0.2094944417476654,,,
6335,98,,,0.05127882584929466,,
6335,98,,,,0.24838536977767944,
6336,,0.001,,,,
6349,,0.001,,,,
6349,99,,0.22435763478279114,,,
6399,,0.001,,,,
6399,99,,0.15310980379581451,,,
6399,99,,,0.0508146695792675,,
6399,99,,,,0.24808566272258759,
6400,,0.001,,,,
6449,,0.001,,,,
6449,100,,0.2845536470413208,,,
6463,100,,,0.048984117805957794,,
6463,100,,,,0.24726678431034088,
6464,,0.001,,,,
6499,,0.001,,,,
6499,101,,0.3196372985839844,,,
6527,101,,,0.04898814484477043,,
6527,101,,,,0.24576908349990845,
6528,,0.001,,,,
6549,,0.001,,,,
6549,102,,0.2566611170768738,,,
6591,102,,,0.048757851123809814,,
6591,102,,,,0.24731016159057617,
6592,,0.001,,,,
6599,,0.001,,,,
6599,103,,0.1599511206150055,,,
6649,,0.001,,,,
6649,103,,0.25551745295524597,,,
6655,103,,,0.04823928326368332,,
6655,103,,,,0.24489709734916687,
6656,,0.001,,,,
6699,,0.001,,,,
6699,104,,0.2679011821746826,,,
6719,104,,,0.04872855544090271,,
6719,104,,,,0.24855217337608337,
6720,,0.001,,,,
6749,,0.001,,,,
6749,105,,0.2743341326713562,,,
6783,105,,,0.04840715974569321,,
6783,105,,,,0.24580173194408417,
6784,,0.001,,,,
6799,,0.001,,,,
6799,106,,0.18967510759830475,,,
6847,106,,,0.04810362681746483,,
6847,106,,,,0.24383342266082764,
6848,,0.001,,,,
6849,,0.001,,,,
6849,107,,0.22597871720790863,,,
6899,,0.001,,,,
6899,107,,0.328797310590744,,,
6911,107,,,0.04875965416431427,,
6911,107,,,,0.24701158702373505,
6912,,0.001,,,,
6949,,0.001,,,,
6949,108,,0.19109219312667847,,,
6975,108,,,0.047708768397569656,,
6975,108,,,,0.2451905757188797,
6976,,0.001,,,,
6999,,0.001,,,,
6999,109,,0.2867164611816406,,,
7039,109,,,0.04787582531571388,,
7039,109,,,,0.24677829444408417,
7040,,0.001,,,,
7049,,0.001,,,,
7049,110,,0.2167619913816452,,,
7099,,0.001,,,,
7099,110,,0.2602831721305847,,,
7103,110,,,0.05113435536623001,,
7103,110,,,,0.24608111381530762,
7104,,0.001,,,,
7149,,0.001,,,,
7149,111,,0.18666662275791168,,,
7167,111,,,0.04798738285899162,,
7167,111,,,,0.24471749365329742,
7168,,0.001,,,,
7199,,0.001,,,,
7199,112,,0.28545185923576355,,,
7231,112,,,0.05434637516736984,,
7231,112,,,,0.24440997838974,
7232,,0.001,,,,
7249,,0.001,,,,
7249,113,,0.1469070315361023,,,
7295,113,,,0.05448891222476959,,
7295,113,,,,0.247757688164711,
7296,,0.001,,,,
7299,,0.001,,,,
7299,114,,0.2947445511817932,,,
7349,,0.001,,,,
7349,114,,0.2809601426124573,,,
7359,114,,,0.048548851162195206,,
7359,114,,,,0.24822433292865753,
7360,,0.001,,,,
7399,,0.001,,,,
7399,115,,0.224758118391037,,,
7423,115,,,0.049745310097932816,,
7423,115,,,,0.24578848481178284,
7424,,0.001,,,,
7449,,0.001,,,,
7449,116,,0.30524197220802307,,,
7487,116,,,0.04863595589995384,,
7487,116,,,,0.24545863270759583,
7488,,0.001,,,,
7499,,0.001,,,,
7499,117,,0.2805224657058716,,,
7549,,0.001,,,,
7549,117,,0.13137564063072205,,,
7551,117,,,0.04737730324268341,,
7551,117,,,,0.2435174286365509,
7552,,0.001,,,,
7599,,0.001,,,,
7599,118,,0.25348466634750366,,,
7615,118,,,0.048337869346141815,,
7615,118,,,,0.2455173283815384,
7616,,0.001,,,,
7649,,0.001,,,,
7649,119,,0.24350020289421082,,,
7679,119,,,0.05776696652173996,,
7679,119,,,,0.24587689340114594,
7680,,0.001,,,,
7699,,0.001,,,,
7699,120,,0.20419859886169434,,,
7743,120,,,0.04747710004448891,,
7743,120,,,,0.24650578200817108,
7744,,0.001,,,,
7749,,0.001,,,,
7749,121,,0.12650832533836365,,,
7799,,0.001,,,,
7799,121,,0.14980670809745789,,,
7807,121,,,0.04806126654148102,,
7807,121,,,,0.24595685303211212,
7808,,0.001,,,,
7849,,0.001,,,,
7849,122,,0.2374131828546524,,,
7871,122,,,0.049062374979257584,,
7871,122,,,,0.24509361386299133,
7872,,0.001,,,,
7899,,0.001,,,,
7899,123,,0.267598420381546,,,
7935,123,,,0.04838547855615616,,
7935,123,,,,0.24425002932548523,
7936,,0.001,,,,
7949,,0.001,,,,
7949,124,,0.293908029794693,,,
7999,,0.001,,,,
7999,124,,0.13350501656532288,,,
7999,124,,,0.04971980303525925,,
7999,124,,,,0.2420128434896469,
8000,,0.001,,,,
8049,,0.001,,,,
8049,125,,0.2729799449443817,,,
8063,125,,,0.049273960292339325,,
8063,125,,,,0.2449185699224472,
8064,,0.001,,,,
8099,,0.001,,,,
8099,126,,0.3471952974796295,,,
8127,126,,,0.04730324074625969,,
8127,126,,,,0.24387580156326294,
8128,,0.001,,,,
8149,,0.001,,,,
8149,127,,0.26493409276008606,,,
8191,127,,,0.047429949045181274,,
8191,127,,,,0.24295423924922943,
8192,,0.001,,,,
8199,,0.001,,,,
