lr-Adam,step,train_loss_step,epoch,val_loss,train_loss_epoch,test_loss
,3263,,50,0.18496030569076538,,
,3263,,50,,0.18547149002552032,
0.001,3264,,,,,
0.001,3299,,,,,
,3299,0.1851627677679062,51,,,
,3327,,51,0.18493564426898956,,
,3327,,51,,0.18541167676448822,
0.001,3328,,,,,
0.001,3349,,,,,
,3349,0.18563413619995117,52,,,
,3391,,52,0.1849226951599121,,
,3391,,52,,0.18546514213085175,
0.001,3392,,,,,
0.001,3399,,,,,
,3399,0.18595056235790253,53,,,
0.001,3449,,,,,
,3449,0.18444061279296875,53,,,
,3455,,53,0.18501926958560944,,
,3455,,53,,0.18540342152118683,
0.001,3456,,,,,
0.001,3499,,,,,
,3499,0.1840953826904297,54,,,
,3519,,54,0.18507163226604462,,
,3519,,54,,0.18550701439380646,
0.001,3520,,,,,
0.001,3549,,,,,
,3549,0.18511493504047394,55,,,
,3583,,55,0.18484681844711304,,
,3583,,55,,0.18542996048927307,
0.001,3584,,,,,
0.001,3599,,,,,
,3599,0.1860232651233673,56,,,
,3647,,56,0.1848045140504837,,
,3647,,56,,0.1854676604270935,
0.001,3648,,,,,
0.001,3649,,,,,
,3649,0.1848069578409195,57,,,
0.001,3699,,,,,
,3699,0.18663860857486725,57,,,
,3711,,57,0.1847570836544037,,
,3711,,57,,0.18533925712108612,
0.001,3712,,,,,
0.001,3749,,,,,
,3749,0.18455852568149567,58,,,
,3775,,58,0.18496590852737427,,
,3775,,58,,0.1853780299425125,
0.001,3776,,,,,
0.001,3799,,,,,
,3799,0.18516132235527039,59,,,
,3839,,59,0.18476279079914093,,
,3839,,59,,0.18546360731124878,
0.001,3840,,,,,
0.001,3849,,,,,
,3849,0.18585963547229767,60,,,
0.001,3899,,,,,
,3899,0.1858559548854828,60,,,
,3903,,60,0.18480715155601501,,
,3903,,60,,0.18535836040973663,
0.001,3904,,,,,
0.001,3949,,,,,
,3949,0.18444816768169403,61,,,
,3967,,61,0.1848641037940979,,
,3967,,61,,0.1853453814983368,
0.001,3968,,,,,
0.001,3999,,,,,
,3999,0.18518920242786407,62,,,
,4031,,62,0.18485477566719055,,
,4031,,62,,0.1853213757276535,
0.001,4032,,,,,
0.001,4049,,,,,
,4049,0.18482249975204468,63,,,
,4095,,63,0.18487046658992767,,
,4095,,63,,0.18537621200084686,
0.001,4096,,,,,
0.001,4099,,,,,
,4099,0.1855156123638153,64,,,
0.001,4149,,,,,
,4149,0.18410836160182953,64,,,
,4159,,64,0.18468211591243744,,
,4159,,64,,0.18529561161994934,
0.001,4160,,,,,
0.001,4199,,,,,
,4199,0.1851467788219452,65,,,
,4223,,65,0.18490561842918396,,
,4223,,65,,0.18531566858291626,
0.001,4224,,,,,
0.001,4249,,,,,
,4249,0.18447540700435638,66,,,
,4287,,66,0.18482424318790436,,
