step,train_loss_step,lr-AdamW,epoch,val_loss,train_loss_epoch,test_loss
4671,,,72,0.044428493827581406,,
4671,,,72,,0.24248944222927094,
4672,,0.001,,,,
4699,,0.001,,,,
4699,0.21900105476379395,,73,,,
4735,,,73,0.045661892741918564,,
4735,,,73,,0.24237601459026337,
4736,,0.001,,,,
4749,,0.001,,,,
4749,0.19543156027793884,,74,,,
4799,,0.001,,,,
4799,0.3298643231391907,,74,,,
4799,,,74,0.04651899263262749,,
4799,,,74,,0.24202170968055725,
4800,,0.001,,,,
4849,,0.001,,,,
4849,0.23431402444839478,,75,,,
4863,,,75,0.04530547559261322,,
4863,,,75,,0.24144399166107178,
4864,,0.001,,,,
4899,,0.001,,,,
4899,0.17571863532066345,,76,,,
4927,,,76,0.046389542520046234,,
4927,,,76,,0.23901931941509247,
4928,,0.001,,,,
4949,,0.001,,,,
4949,0.2575424313545227,,77,,,
4991,,,77,0.048110220581293106,,
4991,,,77,,0.2398737668991089,
4992,,0.001,,,,
4999,,0.001,,,,
4999,0.25155916810035706,,78,,,
5049,,0.001,,,,
5049,0.2324897199869156,,78,,,
5055,,,78,0.04448762163519859,,
5055,,,78,,0.2414596825838089,
5056,,0.001,,,,
5099,,0.001,,,,
5099,0.3625696897506714,,79,,,
5119,,,79,0.046448882669210434,,
5119,,,79,,0.24168507754802704,
5120,,0.001,,,,
5149,,0.001,,,,
5149,0.2451733946800232,,80,,,
5183,,,80,0.046354614198207855,,
5183,,,80,,0.24356214702129364,
5184,,0.001,,,,
5199,,0.001,,,,
5199,0.3240922689437866,,81,,,
5247,,,81,0.04590592533349991,,
5247,,,81,,0.24380405247211456,
5248,,0.001,,,,
5249,,0.001,,,,
5249,0.2223869264125824,,82,,,
5299,,0.001,,,,
5299,0.18636055290699005,,82,,,
5311,,,82,0.04657869413495064,,
5311,,,82,,0.2428617775440216,
5312,,0.001,,,,
5349,,0.001,,,,
5349,0.32326027750968933,,83,,,
5375,,,83,0.04472235590219498,,
5375,,,83,,0.23969358205795288,
5376,,0.001,,,,
5399,,0.001,,,,
5399,0.24426165223121643,,84,,,
5439,,,84,0.045002516359090805,,
5439,,,84,,0.24435076117515564,
5440,,0.001,,,,
5449,,0.001,,,,
5449,0.2648985981941223,,85,,,
5499,,0.001,,,,
5499,0.25776049494743347,,85,,,
5503,,,85,0.045460447669029236,,
5503,,,85,,0.2416726052761078,
5504,,0.001,,,,
5549,,0.001,,,,
5549,0.24698659777641296,,86,,,
5567,,,86,0.04752369597554207,,
5567,,,86,,0.24002902209758759,
5568,,0.001,,,,
5599,,0.001,,,,
5599,0.2617773413658142,,87,,,
5631,,,87,0.04504002630710602,,
5631,,,87,,0.24230921268463135,
5632,,0.001,,,,
5649,,0.001,,,,
5649,0.27015650272369385,,88,,,
5695,,,88,0.044611360877752304,,
5695,,,88,,0.24113918840885162,
5696,,0.001,,,,
5699,,0.001,,,,
5699,0.2911277711391449,,89,,,
5749,,0.001,,,,
5749,0.1660386621952057,,89,,,
5759,,,89,0.04781239852309227,,
5759,,,89,,0.23919709026813507,
5760,,0.001,,,,
5799,,0.001,,,,
5799,0.26621606945991516,,90,,,
5823,,,90,0.044430311769247055,,
5823,,,90,,0.24270857870578766,
5824,,0.001,,,,
5849,,0.001,,,,
5849,0.21320921182632446,,91,,,
5887,,,91,0.04472038149833679,,
5887,,,91,,0.23961719870567322,
5888,,0.001,,,,
5899,,0.001,,,,
5899,0.3012593686580658,,92,,,
5949,,0.001,,,,
5949,0.29082727432250977,,92,,,
5951,,,92,0.04599228501319885,,
5951,,,92,,0.2404811978340149,
5952,,0.001,,,,
5999,,0.001,,,,
5999,0.28275632858276367,,93,,,
6015,,,93,0.044447869062423706,,
6015,,,93,,0.24024006724357605,
6016,,0.001,,,,
6049,,0.001,,,,
6049,0.2575363516807556,,94,,,
6079,,,94,0.044742558151483536,,
6079,,,94,,0.24115431308746338,
6080,,0.001,,,,
6099,,0.001,,,,
6099,0.21263094246387482,,95,,,
6143,,,95,0.04510178789496422,,
6143,,,95,,0.23998498916625977,
6144,,0.001,,,,
6149,,0.001,,,,
6149,0.1911645084619522,,96,,,
6199,,0.001,,,,
6199,0.28374993801116943,,96,,,
6207,,,96,0.048091426491737366,,
6207,,,96,,0.24259312450885773,
6208,,0.001,,,,
6249,,0.001,,,,
6249,0.19752566516399384,,97,,,
6271,,,97,0.04472731053829193,,
6271,,,97,,0.23836316168308258,
6272,,0.001,,,,
6299,,0.001,,,,
6299,0.1857142448425293,,98,,,
