lr-Adam,step,train_loss_step,epoch,val_loss,train_loss_epoch
,6299,0.28980350494384766,98,,
,6335,,98,0.024933187291026115,
,6335,,98,,0.21349915862083435
0.001,6336,,,,
0.001,6349,,,,
,6349,0.1619347184896469,99,,
0.001,6399,,,,
,6399,0.27496081590652466,99,,
,6399,,99,0.021033521741628647,
,6399,,99,,0.2110709398984909
0.001,6400,,,,
0.001,6449,,,,
,6449,0.23022229969501495,100,,
,6463,,100,0.021570874378085136,
,6463,,100,,0.21178404986858368
0.001,6464,,,,
0.001,6499,,,,
,6499,0.2841397821903229,101,,
,6527,,101,0.02397066541016102,
,6527,,101,,0.2095477283000946
0.001,6528,,,,
0.001,6549,,,,
,6549,0.16242501139640808,102,,
,6591,,102,0.024269139394164085,
,6591,,102,,0.20993806421756744
0.001,6592,,,,
0.001,6599,,,,
,6599,0.3240097761154175,103,,
0.001,6649,,,,
,6649,0.2360803335905075,103,,
,6655,,103,0.023876449093222618,
,6655,,103,,0.21186485886573792
0.001,6656,,,,
0.001,6699,,,,
,6699,0.2514449656009674,104,,
,6719,,104,0.020536765456199646,
,6719,,104,,0.2105550318956375
0.001,6720,,,,
0.001,6749,,,,
,6749,0.16464832425117493,105,,
,6783,,105,0.026609228923916817,
,6783,,105,,0.21173310279846191
0.001,6784,,,,
0.001,6799,,,,
,6799,0.23642441630363464,106,,
,6847,,106,0.020625853911042213,
,6847,,106,,0.21175095438957214
0.001,6848,,,,
0.001,6849,,,,
,6849,0.24650631844997406,107,,
0.001,6899,,,,
,6899,0.15758317708969116,107,,
,6911,,107,0.021560316905379295,
,6911,,107,,0.20954333245754242
0.001,6912,,,,
0.001,6949,,,,
,6949,0.3324477970600128,108,,
,6975,,108,0.023104947060346603,
,6975,,108,,0.2094252109527588
0.001,6976,,,,
0.001,6999,,,,
,6999,0.14539854228496552,109,,
,7039,,109,0.022876938804984093,
,7039,,109,,0.2115870863199234
0.001,7040,,,,
0.001,7049,,,,
,7049,0.19056323170661926,110,,
0.001,7099,,,,
,7099,0.2596553564071655,110,,
,7103,,110,0.020706254988908768,
,7103,,110,,0.21130384504795074
0.001,7104,,,,
0.001,7149,,,,
,7149,0.23269401490688324,111,,
,7167,,111,0.02280173823237419,
,7167,,111,,0.20838183164596558
0.001,7168,,,,
0.001,7199,,,,
,7199,0.20555832982063293,112,,
,7231,,112,0.02084014005959034,
,7231,,112,,0.2099071741104126
0.001,7232,,,,
0.001,7249,,,,
,7249,0.1375235617160797,113,,
,7295,,113,0.023407436907291412,
,7295,,113,,0.20942987501621246
0.001,7296,,,,
0.001,7299,,,,
,7299,0.10675714910030365,114,,
0.001,7349,,,,
,7349,0.22253243625164032,114,,
,7359,,114,0.020050838589668274,
,7359,,114,,0.20902879536151886
0.001,7360,,,,
0.001,7399,,,,
,7399,0.261491060256958,115,,
,7423,,115,0.020425258204340935,
,7423,,115,,0.20831605792045593
0.001,7424,,,,
0.001,7449,,,,
,7449,0.19239111244678497,116,,
,7487,,116,0.020452354103326797,
,7487,,116,,0.208258718252182
0.001,7488,,,,
0.001,7499,,,,
,7499,0.238105908036232,117,,
0.001,7549,,,,
,7549,0.19087845087051392,117,,
,7551,,117,0.02501573972404003,
,7551,,117,,0.21090102195739746
0.001,7552,,,,
0.001,7599,,,,
,7599,0.24018289148807526,118,,
,7615,,118,0.020064827054739,
,7615,,118,,0.20948833227157593
0.001,7616,,,,
0.001,7649,,,,
,7649,0.1835935264825821,119,,
,7679,,119,0.02105633169412613,
,7679,,119,,0.20932967960834503
0.001,7680,,,,
0.001,7699,,,,
,7699,0.30974942445755005,120,,
,7743,,120,0.021398818120360374,
,7743,,120,,0.21096250414848328
0.001,7744,,,,
0.001,7749,,,,
,7749,0.24736379086971283,121,,
0.001,7799,,,,
,7799,0.2642214000225067,121,,
,7807,,121,0.024725550785660744,
,7807,,121,,0.20953364670276642
0.001,7808,,,,
0.001,7849,,,,
,7849,0.22607167065143585,122,,
,7871,,122,0.022362876683473587,
,7871,,122,,0.21036922931671143
0.001,7872,,,,
0.001,7899,,,,
,7899,0.2966178059577942,123,,
,7935,,123,0.020641174167394638,
,7935,,123,,0.2091364562511444
0.001,7936,,,,
0.001,7949,,,,
,7949,0.19193606078624725,124,,
0.001,7999,,,,
,7999,0.28779542446136475,124,,
,7999,,124,0.02177189104259014,
,7999,,124,,0.20795442163944244
0.001,8000,,,,
0.001,8049,,,,
,8049,0.2033231258392334,125,,
,8063,,125,0.020672839134931564,
,8063,,125,,0.20746152102947235
0.001,8064,,,,
0.001,8099,,,,
,8099,0.24705886840820312,126,,
,8127,,126,0.027472687885165215,
,8127,,126,,0.21339914202690125
0.001,8128,,,,
0.001,8149,,,,
,8149,0.17392536997795105,127,,
,8191,,127,0.022318225353956223,
,8191,,127,,0.2090277075767517
0.001,8192,,,,
0.001,8199,,,,
,8199,0.2473055124282837,128,,
0.001,8249,,,,
,8249,0.19877439737319946,128,,
,8255,,128,0.020398953929543495,
,8255,,128,,0.20824334025382996
0.001,8256,,,,
0.001,8299,,,,
,8299,0.2086597979068756,129,,
,8319,,129,0.02871027961373329,
,8319,,129,,0.2087184488773346
0.001,8320,,,,
0.001,8349,,,,
,8349,0.2184407263994217,130,,
,8383,,130,0.02079116925597191,
,8383,,130,,0.21175336837768555
0.001,8384,,,,
0.001,8399,,,,
,8399,0.2591387927532196,131,,
,8447,,131,0.020033294335007668,
,8447,,131,,0.20840920507907867
0.001,8448,,,,
0.001,8449,,,,
,8449,0.15722939372062683,132,,
0.001,8499,,,,
,8499,0.24111232161521912,132,,
,8511,,132,0.019461961463093758,
,8511,,132,,0.20713059604167938
0.001,8512,,,,
0.001,8549,,,,
,8549,0.2679237127304077,133,,
,8575,,133,0.022904517129063606,
,8575,,133,,0.20652344822883606
0.001,8576,,,,
0.001,8599,,,,
,8599,0.24870041012763977,134,,
,8639,,134,0.01907772198319435,
,8639,,134,,0.20754393935203552
0.001,8640,,,,
0.001,8649,,,,
,8649,0.11950387060642242,135,,
0.001,8699,,,,
,8699,0.21312221884727478,135,,
,8703,,135,0.01986590586602688,
,8703,,135,,0.2083742767572403
0.001,8704,,,,
0.001,8749,,,,
,8749,0.21891047060489655,136,,
,8767,,136,0.01968422904610634,
,8767,,136,,0.2069840133190155
0.001,8768,,,,
0.001,8799,,,,
,8799,0.2255600094795227,137,,
,8831,,137,0.019507715478539467,
,8831,,137,,0.20620618760585785
0.001,8832,,,,
0.001,8849,,,,
,8849,0.2318648397922516,138,,
,8895,,138,0.02069546841084957,
,8895,,138,,0.20781613886356354
0.001,8896,,,,
0.001,8899,,,,
,8899,0.23613305389881134,139,,
0.001,8949,,,,
,8949,0.2957025170326233,139,,
,8959,,139,0.019058214500546455,
,8959,,139,,0.20761482417583466
0.001,8960,,,,
0.001,8999,,,,
,8999,0.23490044474601746,140,,
,9023,,140,0.022766198962926865,
,9023,,140,,0.2065906673669815
0.001,9024,,,,
0.001,9049,,,,
,9049,0.16799521446228027,141,,
,9087,,141,0.02016538195312023,
,9087,,141,,0.21433882415294647
0.001,9088,,,,
0.001,9099,,,,
,9099,0.21913816034793854,142,,
0.001,9149,,,,
,9149,0.24521328508853912,142,,
,9151,,142,0.018695374950766563,
,9151,,142,,0.20602110028266907
0.001,9152,,,,
0.001,9199,,,,
,9199,0.1399361938238144,143,,
,9215,,143,0.020112894475460052,
,9215,,143,,0.2063061147928238
0.001,9216,,,,
0.001,9249,,,,
,9249,0.1373441070318222,144,,
,9279,,144,0.018831180408596992,
,9279,,144,,0.20534339547157288
0.001,9280,,,,
0.001,9299,,,,
,9299,0.08687731623649597,145,,
,9343,,145,0.022707248106598854,
,9343,,145,,0.20872734487056732
0.001,9344,,,,
0.001,9349,,,,
,9349,0.22111602127552032,146,,
0.001,9399,,,,
,9399,0.2610631287097931,146,,
,9407,,146,0.018987469375133514,
,9407,,146,,0.2082187384366989
0.001,9408,,,,
0.001,9449,,,,
,9449,0.17018760740756989,147,,
,9471,,147,0.0202631875872612,
,9471,,147,,0.2060755044221878
0.001,9472,,,,
0.001,9499,,,,
,9499,0.23004518449306488,148,,
,9535,,148,0.020266450941562653,
,9535,,148,,0.20747683942317963
0.001,9536,,,,
0.001,9549,,,,
,9549,0.17475683987140656,149,,
0.001,9599,,,,
,9599,0.2542484998703003,149,,
,9599,,149,0.027540232986211777,
,9599,,149,,0.20638492703437805
0.001,9600,,,,
0.001,9649,,,,
,9649,0.20359282195568085,150,,
,9663,,150,0.0187322236597538,
,9663,,150,,0.20877572894096375
0.001,9664,,,,
0.001,9699,,,,
,9699,0.26759713888168335,151,,
,9727,,151,0.02110338769853115,
,9727,,151,,0.21088078618049622
0.001,9728,,,,
0.001,9749,,,,
,9749,0.11161541938781738,152,,
,9791,,152,0.01859826222062111,
,9791,,152,,0.20538866519927979
0.001,9792,,,,
0.001,9799,,,,
,9799,0.2594994902610779,153,,
0.001,9849,,,,
,9849,0.17309994995594025,153,,
,9855,,153,0.019012510776519775,
,9855,,153,,0.20491699874401093
0.001,9856,,,,
0.001,9899,,,,
,9899,0.2205064743757248,154,,
,9919,,154,0.019756169989705086,
,9919,,154,,0.20532254874706268
0.001,9920,,,,
0.001,9949,,,,
,9949,0.1789356917142868,155,,
,9983,,155,0.01918840780854225,
,9983,,155,,0.2066003382205963
0.001,9984,,,,
0.001,9999,,,,
,9999,0.23771364986896515,156,,
,10047,,156,0.01854056864976883,
,10047,,156,,0.2066030353307724
0.001,10048,,,,
0.001,10049,,,,
,10049,0.21429163217544556,157,,
0.001,10099,,,,
,10099,0.21703098714351654,157,,
,10111,,157,0.02141004242002964,
,10111,,157,,0.20754794776439667
0.001,10112,,,,
0.001,10149,,,,
,10149,0.1847275346517563,158,,
,10175,,158,0.02018263004720211,
,10175,,158,,0.20629094541072845
0.001,10176,,,,
0.001,10199,,,,
,10199,0.2794709801673889,159,,
,10239,,159,0.018534693866968155,
,10239,,159,,0.20491908490657806
0.001,10240,,,,
0.001,10249,,,,
,10249,0.2625257968902588,160,,
0.001,10299,,,,
,10299,0.13095103204250336,160,,
,10303,,160,0.019891826435923576,
,10303,,160,,0.20639662444591522
0.001,10304,,,,
0.001,10349,,,,
,10349,0.15982413291931152,161,,
,10367,,161,0.018730977550148964,
,10367,,161,,0.20709967613220215
0.001,10368,,,,
0.001,10399,,,,
,10399,0.13861826062202454,162,,
,10431,,162,0.019100075587630272,
,10431,,162,,0.2049955129623413
0.001,10432,,,,
0.001,10449,,,,
,10449,0.17279863357543945,163,,
,10495,,163,0.022025763988494873,
,10495,,163,,0.20776215195655823
0.001,10496,,,,
0.001,10499,,,,
