epoch,train_loss_step,lr-Adam,step,val_loss,train_loss_epoch,test_loss
,,0.001,4160,,,
,,0.001,4199,,,
65,0.031071938574314117,,4199,,,
65,,,4223,0.02747303806245327,,
65,,,4223,,0.02757241018116474,
,,0.001,4224,,,
,,0.001,4249,,,
66,0.027847249060869217,,4249,,,
66,,,4287,0.028116002678871155,,
66,,,4287,,0.02741944044828415,
,,0.001,4288,,,
,,0.001,4299,,,
67,0.028111999854445457,,4299,,,
,,0.001,4349,,,
67,0.027170859277248383,,4349,,,
67,,,4351,0.027237381786108017,,
67,,,4351,,0.027526620775461197,
,,0.001,4352,,,
,,0.001,4399,,,
68,0.028676701709628105,,4399,,,
68,,,4415,0.026517601683735847,,
68,,,4415,,0.02734796516597271,
,,0.001,4416,,,
,,0.001,4449,,,
69,0.028553910553455353,,4449,,,
69,,,4479,0.02706928923726082,,
69,,,4479,,0.026989785954356194,
,,0.001,4480,,,
,,0.001,4499,,,
70,0.026809003204107285,,4499,,,
70,,,4543,0.02657695859670639,,
70,,,4543,,0.02743331342935562,
,,0.001,4544,,,
,,0.001,4549,,,
71,0.02749384008347988,,4549,,,
,,0.001,4599,,,
71,0.02567145973443985,,4599,,,
71,,,4607,0.026442822068929672,,
71,,,4607,,0.02748863212764263,
,,0.001,4608,,,
,,0.001,4649,,,
72,0.026486767455935478,,4649,,,
72,,,4671,0.026095502078533173,,
72,,,4671,,0.027157772332429886,
,,0.001,4672,,,
,,0.001,4699,,,
73,0.02761874534189701,,4699,,,
73,,,4735,0.026973752304911613,,
73,,,4735,,0.02701360359787941,
,,0.001,4736,,,
,,0.001,4749,,,
74,0.02705860510468483,,4749,,,
,,0.001,4799,,,
74,0.028370488435029984,,4799,,,
74,,,4799,0.02638891525566578,,
74,,,4799,,0.026862453669309616,
,,0.001,4800,,,
,,0.001,4849,,,
75,0.027063369750976562,,4849,,,
75,,,4863,0.029327481985092163,,
75,,,4863,,0.02705220878124237,
,,0.001,4864,,,
,,0.001,4899,,,
76,0.027122627943754196,,4899,,,
76,,,4927,0.026486121118068695,,
76,,,4927,,0.02632550150156021,
,,0.001,4928,,,
,,0.001,4949,,,
77,0.02657082863152027,,4949,,,
77,,,4991,0.026976028457283974,,
77,,,4991,,0.026492711156606674,
,,0.001,4992,,,
,,0.001,4999,,,
78,0.025971168652176857,,4999,,,
,,0.001,5049,,,
78,0.026518365368247032,,5049,,,
78,,,5055,0.02605571411550045,,
78,,,5055,,0.026880981400609016,
,,0.001,5056,,,
,,0.001,5099,,,
79,0.025883197784423828,,5099,,,
79,,,5119,0.02584061585366726,,
79,,,5119,,0.02602243795990944,
,,0.001,5120,,,
,,0.001,5149,,,
80,0.02717251516878605,,5149,,,
80,,,5183,0.026993250474333763,,
80,,,5183,,0.02657141536474228,
,,0.001,5184,,,
,,0.001,5199,,,
81,0.025260910391807556,,5199,,,
81,,,5247,0.02808588184416294,,
81,,,5247,,0.02651912346482277,
,,0.001,5248,,,
,,0.001,5249,,,
82,0.02586580254137516,,5249,,,
,,0.001,5299,,,
82,0.02578573301434517,,5299,,,
82,,,5311,0.026132743805646896,,
82,,,5311,,0.0261243786662817,
,,0.001,5312,,,
,,0.001,5349,,,
83,0.02816469594836235,,5349,,,
83,,,5375,0.025351231917738914,,
83,,,5375,,0.026363585144281387,
,,0.001,5376,,,
,,0.001,5399,,,
84,0.026145320385694504,,5399,,,
84,,,5439,0.025199851021170616,,
84,,,5439,,0.026138603687286377,
,,0.001,5440,,,
,,0.001,5449,,,
85,0.025181850418448448,,5449,,,
,,0.001,5499,,,
85,0.02611696347594261,,5499,,,
85,,,5503,0.026610810309648514,,
85,,,5503,,0.026031160727143288,
,,0.001,5504,,,
,,0.001,5549,,,
86,0.026965823024511337,,5549,,,
86,,,5567,0.026447203010320663,,
86,,,5567,,0.026096822693943977,
,,0.001,5568,,,
,,0.001,5599,,,
87,0.0277402363717556,,5599,,,
87,,,5631,0.025490913540124893,,
87,,,5631,,0.025954093784093857,
,,0.001,5632,,,
,,0.001,5649,,,
88,0.025263816118240356,,5649,,,
88,,,5695,0.025308631360530853,,
88,,,5695,,0.025713570415973663,
,,0.001,5696,,,
,,0.001,5699,,,
89,0.025990936905145645,,5699,,,
,,0.001,5749,,,
89,0.027214830741286278,,5749,,,
89,,,5759,0.0274820476770401,,
89,,,5759,,0.02747703343629837,
,,0.001,5760,,,
,,0.001,5799,,,
90,0.02588207647204399,,5799,,,
90,,,5823,0.02552381344139576,,
90,,,5823,,0.025830164551734924,
,,0.001,5824,,,
,,0.001,5849,,,
91,0.026300529018044472,,5849,,,
91,,,5887,0.025101885199546814,,
91,,,5887,,0.02545185759663582,
,,0.001,5888,,,
,,0.001,5899,,,
92,0.025106411427259445,,5899,,,
,,0.001,5949,,,
92,0.02489512413740158,,5949,,,
92,,,5951,0.025248367339372635,,
92,,,5951,,0.025568341836333275,
,,0.001,5952,,,
,,0.001,5999,,,
93,0.025438060984015465,,5999,,,
93,,,6015,0.025089001283049583,,
93,,,6015,,0.025432566180825233,
,,0.001,6016,,,
,,0.001,6049,,,
94,0.024403151124715805,,6049,,,
94,,,6079,0.024698013439774513,,
94,,,6079,,0.02535056136548519,
,,0.001,6080,,,
,,0.001,6099,,,
95,0.024050462990999222,,6099,,,
95,,,6143,0.028004122897982597,,
95,,,6143,,0.025581637397408485,
,,0.001,6144,,,
,,0.001,6149,,,
96,0.025863531976938248,,6149,,,
,,0.001,6199,,,
96,0.0246921107172966,,6199,,,
96,,,6207,0.02457316406071186,,
96,,,6207,,0.02533501200377941,
,,0.001,6208,,,
,,0.001,6249,,,
97,0.02558138221502304,,6249,,,
97,,,6271,0.02433268539607525,,
97,,,6271,,0.02485104277729988,
,,0.001,6272,,,
,,0.001,6299,,,
98,0.025021137669682503,,6299,,,
98,,,6335,0.02509700134396553,,
98,,,6335,,0.02519906498491764,
,,0.001,6336,,,
,,0.001,6349,,,
99,0.02539711445569992,,6349,,,
,,0.001,6399,,,
99,0.02436254546046257,,6399,,,
99,,,6399,0.02495051920413971,,
99,,,6399,,0.025274602696299553,
,,0.001,6400,,,
,,0.001,6449,,,
100,0.024395931512117386,,6449,,,
100,,,6463,0.024682674556970596,,
100,,,6463,,0.0250338576734066,
,,0.001,6464,,,
,,0.001,6499,,,
101,0.025179436430335045,,6499,,,
101,,,6527,0.024629907682538033,,
101,,,6527,,0.02527417056262493,
,,0.001,6528,,,
,,0.001,6549,,,
102,0.026047077029943466,,6549,,,
102,,,6591,0.02545255422592163,,
102,,,6591,,0.02480383589863777,
,,0.001,6592,,,
,,0.001,6599,,,
103,0.027542782947421074,,6599,,,
,,0.001,6649,,,
103,0.023861421272158623,,6649,,,
103,,,6655,0.02478618733584881,,
103,,,6655,,0.025358498096466064,
,,0.001,6656,,,
,,0.001,6699,,,
104,0.023956723511219025,,6699,,,
104,,,6719,0.024304162710905075,,
104,,,6719,,0.024874387308955193,
,,0.001,6720,,,
,,0.001,6749,,,
105,0.02550981566309929,,6749,,,
105,,,6783,0.024049192667007446,,
105,,,6783,,0.025423264130949974,
,,0.001,6784,,,
,,0.001,6799,,,
106,0.024274252355098724,,6799,,,
106,,,6847,0.02471386268734932,,
106,,,6847,,0.02486361376941204,
,,0.001,6848,,,
,,0.001,6849,,,
107,0.025427548214793205,,6849,,,
,,0.001,6899,,,
107,0.02491580694913864,,6899,,,
107,,,6911,0.02668430656194687,,
107,,,6911,,0.026868978515267372,
,,0.001,6912,,,
,,0.001,6949,,,
108,0.024345289915800095,,6949,,,
108,,,6975,0.02418544515967369,,
108,,,6975,,0.02505883015692234,
,,0.001,6976,,,
,,0.001,6999,,,
109,0.026952629908919334,,6999,,,
109,,,7039,0.024786440655589104,,
109,,,7039,,0.025079797953367233,
,,0.001,7040,,,
,,0.001,7049,,,
110,0.026578711345791817,,7049,,,
,,0.001,7099,,,
110,0.025320623070001602,,7099,,,
110,,,7103,0.023807626217603683,,
110,,,7103,,0.024571547284722328,
,,0.001,7104,,,
,,0.001,7149,,,
111,0.024878015741705894,,7149,,,
111,,,7167,0.024562235921621323,,
111,,,7167,,0.024242859333753586,
,,0.001,7168,,,
,,0.001,7199,,,
112,0.025312434881925583,,7199,,,
112,,,7231,0.02462739311158657,,
112,,,7231,,0.024473095312714577,
,,0.001,7232,,,
,,0.001,7249,,,
113,0.02404165267944336,,7249,,,
113,,,7295,0.02362907864153385,,
113,,,7295,,0.024412736296653748,
,,0.001,7296,,,
,,0.001,7299,,,
114,0.025171633809804916,,7299,,,
,,0.001,7349,,,
114,0.023923447355628014,,7349,,,
114,,,7359,0.024803079664707184,,
114,,,7359,,0.024311987683176994,
,,0.001,7360,,,
,,0.001,7399,,,
115,0.024602247402071953,,7399,,,
115,,,7423,0.024036066606640816,,
115,,,7423,,0.024404283612966537,
,,0.001,7424,,,
,,0.001,7449,,,
116,0.02374027855694294,,7449,,,
116,,,7487,0.02490399032831192,,
116,,,7487,,0.02430735155940056,
,,0.001,7488,,,
,,0.001,7499,,,
117,0.023204782977700233,,7499,,,
,,0.001,7549,,,
117,0.024582667276263237,,7549,,,
117,,,7551,0.023664258420467377,,
117,,,7551,,0.02396354451775551,
,,0.001,7552,,,
,,0.001,7599,,,
118,0.025677163153886795,,7599,,,
118,,,7615,0.02534240297973156,,
118,,,7615,,0.02429354377090931,
,,0.001,7616,,,
,,0.001,7649,,,
119,0.024487704038619995,,7649,,,
