step,lr-Adam,epoch,train_loss_step,val_loss,train_loss_epoch,test_loss
5119,,79,,,0.017530474811792374,
5120,0.001,,,,,
5149,0.001,,,,,
5149,,80,0.016148990020155907,,,
5183,,80,,0.016874058172106743,,
5183,,80,,,0.017461244016885757,
5184,0.001,,,,,
5199,0.001,,,,,
5199,,81,0.018096018582582474,,,
5247,,81,,0.016677720472216606,,
5247,,81,,,0.01700212061405182,
5248,0.001,,,,,
5249,0.001,,,,,
5249,,82,0.018208105117082596,,,
5299,0.001,,,,,
5299,,82,0.018161213025450706,,,
5311,,82,,0.017860807478427887,,
5311,,82,,,0.017532089725136757,
5312,0.001,,,,,
5349,0.001,,,,,
5349,,83,0.019344642758369446,,,
5375,,83,,0.016623156145215034,,
5375,,83,,,0.017505988478660583,
5376,0.001,,,,,
5399,0.001,,,,,
5399,,84,0.015961352735757828,,,
5439,,84,,0.01680719293653965,,
5439,,84,,,0.016573069617152214,
5440,0.001,,,,,
5449,0.001,,,,,
5449,,85,0.018674371764063835,,,
5499,0.001,,,,,
5499,,85,0.016319869086146355,,,
5503,,85,,0.017682939767837524,,
5503,,85,,,0.016815204173326492,
5504,0.001,,,,,
5549,0.001,,,,,
5549,,86,0.016453107818961143,,,
5567,,86,,0.01806039549410343,,
5567,,86,,,0.01681099459528923,
5568,0.001,,,,,
5599,0.001,,,,,
5599,,87,0.019347313791513443,,,
5631,,87,,0.01778576523065567,,
5631,,87,,,0.017623696476221085,
5632,0.001,,,,,
5649,0.001,,,,,
5649,,88,0.016457924619317055,,,
5695,,88,,0.016258062794804573,,
5695,,88,,,0.016463298350572586,
5696,0.001,,,,,
5699,0.001,,,,,
5699,,89,0.016834525391459465,,,
5749,0.001,,,,,
5749,,89,0.01585322804749012,,,
5759,,89,,0.019352596253156662,,
5759,,89,,,0.016618624329566956,
5760,0.001,,,,,
5799,0.001,,,,,
5799,,90,0.016368325799703598,,,
5823,,90,,0.01854698359966278,,
5823,,90,,,0.01747363992035389,
5824,0.001,,,,,
5849,0.001,,,,,
5849,,91,0.01622708886861801,,,
5887,,91,,0.01622926816344261,,
5887,,91,,,0.01671445742249489,
5888,0.001,,,,,
5899,0.001,,,,,
5899,,92,0.01706600748002529,,,
5949,0.001,,,,,
5949,,92,0.015280005522072315,,,
5951,,92,,0.016073061153292656,,
5951,,92,,,0.0161866657435894,
5952,0.001,,,,,
5999,0.001,,,,,
5999,,93,0.01603659614920616,,,
6015,,93,,0.01595275104045868,,
6015,,93,,,0.01638692244887352,
6016,0.001,,,,,
6049,0.001,,,,,
6049,,94,0.01665610633790493,,,
6079,,94,,0.015975330024957657,,
6079,,94,,,0.016242414712905884,
6080,0.001,,,,,
6099,0.001,,,,,
6099,,95,0.0163933876901865,,,
6143,,95,,0.015537232160568237,,
6143,,95,,,0.016399456188082695,
6144,0.001,,,,,
6149,0.001,,,,,
6149,,96,0.015516912564635277,,,
6199,0.001,,,,,
6199,,96,0.016221705824136734,,,
6207,,96,,0.015689652413129807,,
6207,,96,,,0.015933053568005562,
6208,0.001,,,,,
6249,0.001,,,,,
6249,,97,0.015932872891426086,,,
6271,,97,,0.01736440323293209,,
6271,,97,,,0.016581149771809578,
6272,0.001,,,,,
6299,0.001,,,,,
6299,,98,0.01685863360762596,,,
6335,,98,,0.018526742234826088,,
6335,,98,,,0.015973523259162903,
6336,0.001,,,,,
6349,0.001,,,,,
6349,,99,0.015752064064145088,,,
6399,0.001,,,,,
6399,,99,0.015172223560512066,,,
6399,,99,,0.01534383837133646,,
6399,,99,,,0.016311636194586754,
6400,0.001,,,,,
6449,0.001,,,,,
6449,,100,0.01567024178802967,,,
6463,,100,,0.016819626092910767,,
6463,,100,,,0.015664055943489075,
6464,0.001,,,,,
6499,0.001,,,,,
6499,,101,0.01627550832927227,,,
6527,,101,,0.016078254207968712,,
6527,,101,,,0.016215840354561806,
6528,0.001,,,,,
6549,0.001,,,,,
6549,,102,0.015476142056286335,,,
6591,,102,,0.017005039379000664,,
6591,,102,,,0.01578231155872345,
6592,0.001,,,,,
6599,0.001,,,,,
6599,,103,0.0156687144190073,,,
6649,0.001,,,,,
6649,,103,0.015390385873615742,,,
6655,,103,,0.01531977765262127,,
6655,,103,,,0.016193440183997154,
6656,0.001,,,,,
6699,0.001,,,,,
6699,,104,0.015783686190843582,,,
6719,,104,,0.015554503537714481,,
6719,,104,,,0.015566524118185043,
6720,0.001,,,,,
6749,0.001,,,,,
6749,,105,0.015394855290651321,,,
6783,,105,,0.015836920589208603,,
6783,,105,,,0.01574058085680008,
6784,0.001,,,,,
6799,0.001,,,,,
6799,,106,0.01727013662457466,,,
6847,,106,,0.016903428360819817,,
6847,,106,,,0.016531948000192642,
6848,0.001,,,,,
6849,0.001,,,,,
6849,,107,0.01500062458217144,,,
6899,0.001,,,,,
6899,,107,0.01541985385119915,,,
6911,,107,,0.015877043828368187,,
6911,,107,,,0.01564866304397583,
6912,0.001,,,,,
6949,0.001,,,,,
6949,,108,0.015964273363351822,,,
6975,,108,,0.015069895423948765,,
6975,,108,,,0.015622078441083431,
6976,0.001,,,,,
6999,0.001,,,,,
6999,,109,0.014736909419298172,,,
7039,,109,,0.015577818267047405,,
7039,,109,,,0.015405261889100075,
7040,0.001,,,,,
7049,0.001,,,,,
7049,,110,0.015805374830961227,,,
7099,0.001,,,,,
7099,,110,0.015469060279428959,,,
7103,,110,,0.015076158568263054,,
7103,,110,,,0.016028471291065216,
7104,0.001,,,,,
7149,0.001,,,,,
7149,,111,0.015499715693295002,,,
7167,,111,,0.01510208286345005,,
7167,,111,,,0.015405219979584217,
7168,0.001,,,,,
7199,0.001,,,,,
7199,,112,0.015889253467321396,,,
7231,,112,,0.015594778582453728,,
7231,,112,,,0.015349636785686016,
7232,0.001,,,,,
7249,0.001,,,,,
7249,,113,0.017728637903928757,,,
7295,,113,,0.014881809242069721,,
7295,,113,,,0.015743672847747803,
7296,0.001,,,,,
7299,0.001,,,,,
7299,,114,0.01704263873398304,,,
7349,0.001,,,,,
7349,,114,0.015811558812856674,,,
7359,,114,,0.015514316037297249,,
7359,,114,,,0.01623344048857689,
7360,0.001,,,,,
7399,0.001,,,,,
7399,,115,0.015675105154514313,,,
7423,,115,,0.015268119983375072,,
7423,,115,,,0.015709251165390015,
7424,0.001,,,,,
7449,0.001,,,,,
7449,,116,0.014926612377166748,,,
7487,,116,,0.015296750701963902,,
7487,,116,,,0.015049733221530914,
7488,0.001,,,,,
7499,0.001,,,,,
7499,,117,0.01661141775548458,,,
7549,0.001,,,,,
7549,,117,0.014868124388158321,,,
7551,,117,,0.01467976812273264,,
7551,,117,,,0.015285083092749119,
7552,0.001,,,,,
7599,0.001,,,,,
7599,,118,0.014769847504794598,,,
7615,,118,,0.016720464453101158,,
7615,,118,,,0.015347836539149284,
7616,0.001,,,,,
7649,0.001,,,,,
7649,,119,0.017611296847462654,,,
7679,,119,,0.016495201736688614,,
7679,,119,,,0.015679843723773956,
7680,0.001,,,,,
7699,0.001,,,,,
7699,,120,0.01573675498366356,,,
7743,,120,,0.016074735671281815,,
7743,,120,,,0.015410587191581726,
7744,0.001,,,,,
7749,0.001,,,,,
7749,,121,0.0143737206235528,,,
7799,0.001,,,,,
7799,,121,0.015019398182630539,,,
7807,,121,,0.01470460370182991,,
7807,,121,,,0.015462055802345276,
7808,0.001,,,,,
7849,0.001,,,,,
7849,,122,0.015048714354634285,,,
7871,,122,,0.01516339834779501,,
7871,,122,,,0.014987697824835777,
7872,0.001,,,,,
7899,0.001,,,,,
7899,,123,0.01656610518693924,,,
7935,,123,,0.015254903584718704,,
7935,,123,,,0.015955064445734024,
7936,0.001,,,,,
7949,0.001,,,,,
7949,,124,0.015797818079590797,,,
7999,0.001,,,,,
7999,,124,0.01492417324334383,,,
7999,,124,,0.014932990074157715,,
7999,,124,,,0.0156228793784976,
8000,0.001,,,,,
8049,0.001,,,,,
8049,,125,0.015018418431282043,,,
8063,,125,,0.017343470826745033,,
8063,,125,,,0.015219752676784992,
8064,0.001,,,,,
8099,0.001,,,,,
8099,,126,0.014920666813850403,,,
8127,,126,,0.014448695816099644,,
8127,,126,,,0.015131707303225994,
8128,0.001,,,,,
8149,0.001,,,,,
8149,,127,0.01482196245342493,,,
8191,,127,,0.01471549179404974,,
8191,,127,,,0.014914743602275848,
8192,0.001,,,,,
8199,0.001,,,,,
8199,,128,0.014520206488668919,,,
8249,0.001,,,,,
8249,,128,0.01504300907254219,,,
8255,,128,,0.014769231900572777,,
8255,,128,,,0.015070627443492413,
8256,0.001,,,,,
8299,0.001,,,,,
8299,,129,0.015473401173949242,,,
8319,,129,,0.014800029806792736,,
8319,,129,,,0.015277265571057796,
8320,0.001,,,,,
8349,0.001,,,,,
8349,,130,0.014776915311813354,,,
8383,,130,,0.014368169009685516,,
8383,,130,,,0.014820355921983719,
8384,0.001,,,,,
8399,0.001,,,,,
8399,,131,0.015393545851111412,,,
8447,,131,,0.014768374152481556,,
8447,,131,,,0.015599142760038376,
8448,0.001,,,,,
8449,0.001,,,,,
8449,,132,0.015655292198061943,,,
8499,0.001,,,,,
8499,,132,0.014189640991389751,,,
8511,,132,,0.015388776548206806,,
8511,,132,,,0.015784842893481255,
8512,0.001,,,,,
8549,0.001,,,,,
8549,,133,0.016846155747771263,,,
8575,,133,,0.014997993595898151,,
8575,,133,,,0.015239754691720009,
8576,0.001,,,,,
8599,0.001,,,,,
8599,,134,0.014905016869306564,,,
8639,,134,,0.015088564716279507,,
8639,,134,,,0.014915529638528824,
8640,0.001,,,,,
8649,0.001,,,,,
8649,,135,0.014402639120817184,,,
8699,0.001,,,,,
8699,,135,0.014850160107016563,,,
8703,,135,,0.014317252673208714,,
8703,,135,,,0.014766902662813663,
8704,0.001,,,,,
8749,0.001,,,,,
8749,,136,0.014291578903794289,,,
8767,,136,,0.014456214383244514,,
8767,,136,,,0.014611762948334217,
8768,0.001,,,,,
8799,0.001,,,,,
8799,,137,0.015836099162697792,,,
8831,,137,,0.014768507331609726,,
8831,,137,,,0.014934885315597057,
8832,0.001,,,,,
8849,0.001,,,,,
8849,,138,0.015492260456085205,,,
8895,,138,,0.014513376168906689,,
8895,,138,,,0.014830134809017181,
8896,0.001,,,,,
8899,0.001,,,,,
8899,,139,0.015226077288389206,,,
8949,0.001,,,,,
8949,,139,0.015220399014651775,,,
8959,,139,,0.014940951950848103,,
8959,,139,,,0.015052983537316322,
8960,0.001,,,,,
8999,0.001,,,,,
8999,,140,0.014410514384508133,,,
9023,,140,,0.01495801005512476,,
9023,,140,,,0.014628393575549126,
9024,0.001,,,,,
9049,0.001,,,,,
9049,,141,0.016590049490332603,,,
9087,,141,,0.014520817436277866,,
9087,,141,,,0.014845380559563637,
9088,0.001,,,,,
9099,0.001,,,,,
9099,,142,0.014281325042247772,,,
9149,0.001,,,,,
9149,,142,0.014144166372716427,,,
9151,,142,,0.015291798859834671,,
9151,,142,,,0.01468318048864603,
9152,0.001,,,,,
9199,0.001,,,,,
9199,,143,0.014508938416838646,,,
9215,,143,,0.014768507331609726,,
9215,,143,,,0.014591286890208721,
9216,0.001,,,,,
9249,0.001,,,,,
9249,,144,0.014254669658839703,,,
9279,,144,,0.017763344570994377,,
9279,,144,,,0.015659669414162636,
9280,0.001,,,,,
9299,0.001,,,,,
9299,,145,0.014673522673547268,,,
9343,,145,,0.015296648256480694,,
9343,,145,,,0.014908877201378345,
9344,0.001,,,,,
9349,0.001,,,,,
9349,,146,0.015023264102637768,,,
9399,0.001,,,,,
9399,,146,0.01462331973016262,,,
9407,,146,,0.014096601866185665,,
9407,,146,,,0.014696232974529266,
9408,0.001,,,,,
9449,0.001,,,,,
9449,,147,0.014194670133292675,,,
9471,,147,,0.01438413467258215,,
9471,,147,,,0.014352559112012386,
9472,0.001,,,,,
9499,0.001,,,,,
9499,,148,0.013938750140368938,,,
9535,,148,,0.01666766218841076,,
9535,,148,,,0.01502696517854929,
9536,0.001,,,,,
9549,0.001,,,,,
9549,,149,0.01572135090827942,,,
9599,0.001,,,,,
9599,,149,0.01495740469545126,,,
9599,,149,,0.014674436300992966,,
9599,,149,,,0.015302362851798534,
9600,0.001,,,,,
9649,0.001,,,,,
9649,,150,0.014108666218817234,,,
