epoch,step,lr-Adam,train_loss_step,val_loss,train_loss_epoch,test_loss
48,3135,,,,0.018510881811380386,
,3136,0.001,,,,
,3149,0.001,,,,
49,3149,,0.018119415268301964,,,
,3199,0.001,,,,
49,3199,,0.01785416714847088,,,
49,3199,,,0.01756589487195015,,
49,3199,,,,0.01835341565310955,
,3200,0.001,,,,
,3249,0.001,,,,
50,3249,,0.018438613042235374,,,
50,3263,,,0.01795622520148754,,
50,3263,,,,0.017955131828784943,
,3264,0.001,,,,
,3299,0.001,,,,
51,3299,,0.022615572437644005,,,
51,3327,,,0.017635473981499672,,
51,3327,,,,0.018693560734391212,
,3328,0.001,,,,
,3349,0.001,,,,
52,3349,,0.017442911863327026,,,
52,3391,,,0.01781141571700573,,
52,3391,,,,0.018377339467406273,
,3392,0.001,,,,
,3399,0.001,,,,
53,3399,,0.018270786851644516,,,
,3449,0.001,,,,
53,3449,,0.017594369128346443,,,
53,3455,,,0.020577365532517433,,
53,3455,,,,0.017942484468221664,
,3456,0.001,,,,
,3499,0.001,,,,
54,3499,,0.01783044822514057,,,
54,3519,,,0.017259804531931877,,
54,3519,,,,0.018922802060842514,
,3520,0.001,,,,
,3549,0.001,,,,
55,3549,,0.016991624608635902,,,
55,3583,,,0.01755141280591488,,
55,3583,,,,0.017583435401320457,
,3584,0.001,,,,
,3599,0.001,,,,
56,3599,,0.017970463261008263,,,
56,3647,,,0.017241505905985832,,
56,3647,,,,0.01767794042825699,
,3648,0.001,,,,
,3649,0.001,,,,
57,3649,,0.017300575971603394,,,
,3699,0.001,,,,
57,3699,,0.016200140118598938,,,
57,3711,,,0.016783419996500015,,
57,3711,,,,0.017166227102279663,
,3712,0.001,,,,
,3749,0.001,,,,
58,3749,,0.016436267644166946,,,
58,3775,,,0.017878413200378418,,
58,3775,,,,0.01774022914469242,
,3776,0.001,,,,
,3799,0.001,,,,
59,3799,,0.017141932621598244,,,
59,3839,,,0.017290987074375153,,
59,3839,,,,0.017197880893945694,
,3840,0.001,,,,
,3849,0.001,,,,
60,3849,,0.01691732183098793,,,
,3899,0.001,,,,
60,3899,,0.016318855807185173,,,
60,3903,,,0.016920246183872223,,
60,3903,,,,0.017838826403021812,
,3904,0.001,,,,
,3949,0.001,,,,
61,3949,,0.016689486801624298,,,
61,3967,,,0.01653251238167286,,
61,3967,,,,0.01708786003291607,
,3968,0.001,,,,
,3999,0.001,,,,
62,3999,,0.018142255023121834,,,
62,4031,,,0.01702488400042057,,
62,4031,,,,0.017157314345240593,
,4032,0.001,,,,
,4049,0.001,,,,
63,4049,,0.01622285135090351,,,
63,4095,,,0.016568293794989586,,
63,4095,,,,0.016831884160637856,
,4096,0.001,,,,
,4099,0.001,,,,
64,4099,,0.0163640808314085,,,
,4149,0.001,,,,
64,4149,,0.016786878928542137,,,
64,4159,,,0.016392866149544716,,
64,4159,,,,0.017623446881771088,
,4160,0.001,,,,
,4199,0.001,,,,
65,4199,,0.016754433512687683,,,
65,4223,,,0.01742938905954361,,
65,4223,,,,0.016672497615218163,
,4224,0.001,,,,
,4249,0.001,,,,
66,4249,,0.016113851219415665,,,
66,4287,,,0.016447601839900017,,
66,4287,,,,0.01732618547976017,
,4288,0.001,,,,
,4299,0.001,,,,
67,4299,,0.01701432093977928,,,
,4349,0.001,,,,
67,4349,,0.016417507082223892,,,
67,4351,,,0.01650110073387623,,
67,4351,,,,0.01662677340209484,
,4352,0.001,,,,
,4399,0.001,,,,
68,4399,,0.016308140009641647,,,
68,4415,,,0.015883736312389374,,
68,4415,,,,0.01646735891699791,
,4416,0.001,,,,
,4449,0.001,,,,
69,4449,,0.01569073460996151,,,
69,4479,,,0.01744227483868599,,
69,4479,,,,0.016466133296489716,
,4480,0.001,,,,
,4499,0.001,,,,
70,4499,,0.017098022624850273,,,
70,4543,,,0.015746792778372765,,
70,4543,,,,0.016843613237142563,
,4544,0.001,,,,
,4549,0.001,,,,
71,4549,,0.016868485137820244,,,
,4599,0.001,,,,
71,4599,,0.015299135819077492,,,
71,4607,,,0.01590205542743206,,
71,4607,,,,0.01644616574048996,
,4608,0.001,,,,
,4649,0.001,,,,
72,4649,,0.016615716740489006,,,
72,4671,,,0.015948476269841194,,
72,4671,,,,0.01682456023991108,
,4672,0.001,,,,
,4699,0.001,,,,
73,4699,,0.01579592563211918,,,
73,4735,,,0.01569763943552971,,
73,4735,,,,0.016181403771042824,
,4736,0.001,,,,
,4749,0.001,,,,
74,4749,,0.016072656959295273,,,
,4799,0.001,,,,
74,4799,,0.016226444393396378,,,
74,4799,,,0.016115140169858932,,
74,4799,,,,0.01615469716489315,
,4800,0.001,,,,
,4849,0.001,,,,
75,4849,,0.01562654599547386,,,
75,4863,,,0.015516255982220173,,
75,4863,,,,0.01599675603210926,
,4864,0.001,,,,
,4899,0.001,,,,
76,4899,,0.017451860010623932,,,
76,4927,,,0.01541663147509098,,
76,4927,,,,0.016070928424596786,
,4928,0.001,,,,
,4949,0.001,,,,
77,4949,,0.01584736257791519,,,
77,4991,,,0.016194021329283714,,
77,4991,,,,0.015950100496411324,
,4992,0.001,,,,
,4999,0.001,,,,
78,4999,,0.016318827867507935,,,
,5049,0.001,,,,
78,5049,,0.017121460288763046,,,
78,5055,,,0.016865290701389313,,
78,5055,,,,0.016078034415841103,
,5056,0.001,,,,
,5099,0.001,,,,
79,5099,,0.016051510348916054,,,
79,5119,,,0.015903092920780182,,
79,5119,,,,0.015826931223273277,
,5120,0.001,,,,
,5149,0.001,,,,
80,5149,,0.015250219963490963,,,
80,5183,,,0.015510872937738895,,
80,5183,,,,0.01625453494489193,
,5184,0.001,,,,
,5199,0.001,,,,
81,5199,,0.015923257917165756,,,
81,5247,,,0.015568064525723457,,
81,5247,,,,0.01596210151910782,
,5248,0.001,,,,
,5249,0.001,,,,
82,5249,,0.015566709451377392,,,
,5299,0.001,,,,
