step,lr-Adam,epoch,train_loss_step,val_loss,train_loss_epoch,test_loss
5183,,80,,0.7982416749000549,,
5183,,80,,,0.7909281849861145,
5184,0.001,,,,,
5199,0.001,,,,,
5199,,81,0.7870319485664368,,,
5247,,81,,0.7991683483123779,,
5247,,81,,,0.7933337688446045,
5248,0.001,,,,,
5249,0.001,,,,,
5249,,82,0.7730616927146912,,,
5299,0.001,,,,,
5299,,82,0.79291170835495,,,
5311,,82,,0.7976938486099243,,
5311,,82,,,0.7912449240684509,
5312,0.001,,,,,
5349,0.001,,,,,
5349,,83,0.7682065367698669,,,
5375,,83,,0.7977339029312134,,
5375,,83,,,0.7912696599960327,
5376,0.001,,,,,
5399,0.001,,,,,
5399,,84,0.8050956726074219,,,
5439,,84,,0.7975928783416748,,
5439,,84,,,0.7909103631973267,
5440,0.001,,,,,
5449,0.001,,,,,
5449,,85,0.794101893901825,,,
5499,0.001,,,,,
5499,,85,0.7826995253562927,,,
5503,,85,,0.7975336313247681,,
5503,,85,,,0.7908681631088257,
5504,0.001,,,,,
5549,0.001,,,,,
5549,,86,0.8222593069076538,,,
5567,,86,,0.7975487112998962,,
5567,,86,,,0.7908082604408264,
5568,0.001,,,,,
5599,0.001,,,,,
5599,,87,0.8208585977554321,,,
5631,,87,,0.7976216673851013,,
5631,,87,,,0.7909079194068909,
5632,0.001,,,,,
5649,0.001,,,,,
5649,,88,0.7720692157745361,,,
5695,,88,,0.7974601984024048,,
5695,,88,,,0.7907542586326599,
5696,0.001,,,,,
5699,0.001,,,,,
5699,,89,0.7993339896202087,,,
5749,0.001,,,,,
5749,,89,0.7875776290893555,,,
5759,,89,,0.7976274490356445,,
5759,,89,,,0.790855884552002,
5760,0.001,,,,,
5799,0.001,,,,,
5799,,90,0.8205406665802002,,,
5823,,90,,0.7974963784217834,,
5823,,90,,,0.7908347845077515,
5824,0.001,,,,,
5849,0.001,,,,,
5849,,91,0.7979044318199158,,,
5887,,91,,0.7976620197296143,,
5887,,91,,,0.7912560701370239,
5888,0.001,,,,,
5899,0.001,,,,,
5899,,92,0.7984734177589417,,,
5949,0.001,,,,,
5949,,92,0.7865211963653564,,,
5951,,92,,0.7974437475204468,,
5951,,92,,,0.7907152771949768,
5952,0.001,,,,,
5999,0.001,,,,,
5999,,93,0.8069525957107544,,,
6015,,93,,0.7974509596824646,,
6015,,93,,,0.7906404137611389,
6016,0.001,,,,,
6049,0.001,,,,,
6049,,94,0.7888283133506775,,,
6079,,94,,0.7975142002105713,,
6079,,94,,,0.7912649512290955,
6080,0.001,,,,,
6099,0.001,,,,,
6099,,95,0.7720285654067993,,,
6143,,95,,0.7973978519439697,,
6143,,95,,,0.7906343340873718,
6144,0.001,,,,,
6149,0.001,,,,,
6149,,96,0.8039260506629944,,,
6199,0.001,,,,,
6199,,96,0.7955506443977356,,,
6207,,96,,0.797523021697998,,
6207,,96,,,0.7907102108001709,
6208,0.001,,,,,
6249,0.001,,,,,
6249,,97,0.8039171099662781,,,
6271,,97,,0.7973957657814026,,
6271,,97,,,0.7908311486244202,
6272,0.001,,,,,
6299,0.001,,,,,
6299,,98,0.7829563021659851,,,
6335,,98,,0.7972814440727234,,
6335,,98,,,0.7906085252761841,
6336,0.001,,,,,
6349,0.001,,,,,
6349,,99,0.7731552124023438,,,
6399,0.001,,,,,
6399,,99,0.8031408786773682,,,
6399,,99,,0.7974796295166016,,
6399,,99,,,0.7906790971755981,
6400,0.001,,,,,
6449,0.001,,,,,
6449,,100,0.7766470909118652,,,
6463,,100,,0.7981350421905518,,
6463,,100,,,0.7906538844108582,
6464,0.001,,,,,
6499,0.001,,,,,
6499,,101,0.7750579118728638,,,
6527,,101,,0.7975077629089355,,
6527,,101,,,0.7908324003219604,
6528,0.001,,,,,
6549,0.001,,,,,
6549,,102,0.7882012128829956,,,
6591,,102,,0.7972612380981445,,
6591,,102,,,0.7905848622322083,
6592,0.001,,,,,
6599,0.001,,,,,
6599,,103,0.7805357575416565,,,
6649,0.001,,,,,
6649,,103,0.7770777344703674,,,
6655,,103,,0.7974889278411865,,
6655,,103,,,0.7905662655830383,
6656,0.001,,,,,
6699,0.001,,,,,
6699,,104,0.8012423515319824,,,
6719,,104,,0.7972475290298462,,
6719,,104,,,0.7905736565589905,
6720,0.001,,,,,
6749,0.001,,,,,
6749,,105,0.7747116088867188,,,
6783,,105,,0.7972931265830994,,
6783,,105,,,0.7904857993125916,
6784,0.001,,,,,
6799,0.001,,,,,
6799,,106,0.7732775211334229,,,
6847,,106,,0.7974522709846497,,
6847,,106,,,0.7904835343360901,
6848,0.001,,,,,
6849,0.001,,,,,
6849,,107,0.8239838480949402,,,
6899,0.001,,,,,
6899,,107,0.7956740856170654,,,
6911,,107,,0.7977368831634521,,
6911,,107,,,0.7905513048171997,
6912,0.001,,,,,
