lr-Adam,train_loss_step,step,epoch,val_loss,train_loss_epoch,test_loss
,,4351,67,0.016035789623856544,,
,,4351,67,,0.016156356781721115,
0.001,,4352,,,,
0.001,,4399,,,,
,0.015520847402513027,4399,68,,,
,,4415,68,0.01581462100148201,,
,,4415,68,,0.016333844512701035,
0.001,,4416,,,,
0.001,,4449,,,,
,0.017880095168948174,4449,69,,,
,,4479,69,0.015557646751403809,,
,,4479,69,,0.01652066595852375,
0.001,,4480,,,,
0.001,,4499,,,,
,0.016066057607531548,4499,70,,,
,,4543,70,0.016186192631721497,,
,,4543,70,,0.01626749522984028,
0.001,,4544,,,,
0.001,,4549,,,,
,0.01827709749341011,4549,71,,,
0.001,,4599,,,,
,0.0184961948543787,4599,71,,,
,,4607,71,0.015660066157579422,,
,,4607,71,,0.01619451493024826,
0.001,,4608,,,,
0.001,,4649,,,,
,0.016196472570300102,4649,72,,,
,,4671,72,0.015646668151021004,,
,,4671,72,,0.016369309276342392,
0.001,,4672,,,,
0.001,,4699,,,,
,0.017116451635956764,4699,73,,,
,,4735,73,0.015448056161403656,,
,,4735,73,,0.01626783236861229,
0.001,,4736,,,,
0.001,,4749,,,,
,0.01512234378606081,4749,74,,,
0.001,,4799,,,,
,0.01867249235510826,4799,74,,,
,,4799,74,0.016124246641993523,,
,,4799,74,,0.016208084300160408,
0.001,,4800,,,,
0.001,,4849,,,,
,0.01844060607254505,4849,75,,,
,,4863,75,0.015468129888176918,,
,,4863,75,,0.016363900154829025,
0.001,,4864,,,,
0.001,,4899,,,,
,0.016490165144205093,4899,76,,,
,,4927,76,0.015586130321025848,,
,,4927,76,,0.016057267785072327,
0.001,,4928,,,,
0.001,,4949,,,,
,0.01578447036445141,4949,77,,,
,,4991,77,0.017048470675945282,,
,,4991,77,,0.01604503206908703,
0.001,,4992,,,,
0.001,,4999,,,,
,0.015075081028044224,4999,78,,,
0.001,,5049,,,,
,0.01601366326212883,5049,78,,,
,,5055,78,0.015466367825865746,,
,,5055,78,,0.01659301668405533,
0.001,,5056,,,,
0.001,,5099,,,,
,0.01590544357895851,5099,79,,,
,,5119,79,0.015537079423666,,
,,5119,79,,0.016099995002150536,
0.001,,5120,,,,
0.001,,5149,,,,
,0.01566893421113491,5149,80,,,
,,5183,80,0.015906797721982002,,
,,5183,80,,0.01592395268380642,
0.001,,5184,,,,
0.001,,5199,,,,
,0.017090369015932083,5199,81,,,
,,5247,81,0.01567397266626358,,
,,5247,81,,0.016012880951166153,
0.001,,5248,,,,
0.001,,5249,,,,
,0.01759231649339199,5249,82,,,
0.001,,5299,,,,
,0.017271876335144043,5299,82,,,
,,5311,82,0.016319088637828827,,
,,5311,82,,0.016285698860883713,
0.001,,5312,,,,
0.001,,5349,,,,
,0.016988186165690422,5349,83,,,
,,5375,83,0.015389146283268929,,
,,5375,83,,0.016113445162773132,
0.001,,5376,,,,
0.001,,5399,,,,
,0.015527659095823765,5399,84,,,
,,5439,84,0.015218626707792282,,
,,5439,84,,0.016134444624185562,
0.001,,5440,,,,
0.001,,5449,,,,
,0.013221179135143757,5449,85,,,
0.001,,5499,,,,
,0.01578960381448269,5499,85,,,
,,5503,85,0.015610761009156704,,
,,5503,85,,0.016266893595457077,
0.001,,5504,,,,
0.001,,5549,,,,
,0.016171053051948547,5549,86,,,
,,5567,86,0.016346098855137825,,
,,5567,86,,0.016201088204979897,
0.001,,5568,,,,
0.001,,5599,,,,
,0.014864003285765648,5599,87,,,
,,5631,87,0.015588542446494102,,
,,5631,87,,0.016072768718004227,
0.001,,5632,,,,
0.001,,5649,,,,
,0.0172738004475832,5649,88,,,
,,5695,88,0.015622232109308243,,
,,5695,88,,0.01606025919318199,
0.001,,5696,,,,
0.001,,5699,,,,
,0.014216430485248566,5699,89,,,
0.001,,5749,,,,
,0.015786368399858475,5749,89,,,
,,5759,89,0.015412623062729836,,
,,5759,89,,0.015918727964162827,
0.001,,5760,,,,
0.001,,5799,,,,
,0.01511719822883606,5799,90,,,
,,5823,90,0.015969328582286835,,
,,5823,90,,0.015855081379413605,
0.001,,5824,,,,
0.001,,5849,,,,
,0.01667153649032116,5849,91,,,
,,5887,91,0.016138777136802673,,
,,5887,91,,0.01570810005068779,
0.001,,5888,,,,
0.001,,5899,,,,
,0.016396837309002876,5899,92,,,
0.001,,5949,,,,
,0.016567347571253777,5949,92,,,
,,5951,92,0.015907173976302147,,
,,5951,92,,0.015909932553768158,
0.001,,5952,,,,
0.001,,5999,,,,
,0.01627674512565136,5999,93,,,
,,6015,93,0.015415552072227001,,
,,6015,93,,0.016029685735702515,
0.001,,6016,,,,
0.001,,6049,,,,
,0.01597306877374649,6049,94,,,
,,6079,94,0.015947062522172928,,
,,6079,94,,0.015899237245321274,
0.001,,6080,,,,
0.001,,6099,,,,
,0.016042035073041916,6099,95,,,
,,6143,95,0.01545209065079689,,
,,6143,95,,0.015814945101737976,
0.001,,6144,,,,
0.001,,6149,,,,
,0.01664205826818943,6149,96,,,
0.001,,6199,,,,
,0.017699217423796654,6199,96,,,
,,6207,96,0.016802813857793808,,
,,6207,96,,0.01599895767867565,
0.001,,6208,,,,
0.001,,6249,,,,
,0.016915999352931976,6249,97,,,
,,6271,97,0.015561500564217567,,
,,6271,97,,0.016399668529629707,
0.001,,6272,,,,
0.001,,6299,,,,
,0.014234373345971107,6299,98,,,
,,6335,98,0.015592178329825401,,
,,6335,98,,0.01569058932363987,
0.001,,6336,,,,
0.001,,6349,,,,
,0.016533657908439636,6349,99,,,
0.001,,6399,,,,
,0.015972493216395378,6399,99,,,
,,6399,99,0.015235464088618755,,
,,6399,99,,0.016157904639840126,
0.001,,6400,,,,
0.001,,6449,,,,
,0.014648349024355412,6449,100,,,
,,6463,100,0.015195442363619804,,
,,6463,100,,0.01573050394654274,
0.001,,6464,,,,
0.001,,6499,,,,
,0.01549803651869297,6499,101,,,
,,6527,101,0.01640585996210575,,
,,6527,101,,0.015806833282113075,
0.001,,6528,,,,
0.001,,6549,,,,
,0.016852164641022682,6549,102,,,
,,6591,102,0.015330384485423565,,
,,6591,102,,0.01592542603611946,
0.001,,6592,,,,
0.001,,6599,,,,
,0.017146311700344086,6599,103,,,
0.001,,6649,,,,
,0.015277932398021221,6649,103,,,
,,6655,103,0.015170581638813019,,
,,6655,103,,0.015812531113624573,
0.001,,6656,,,,
0.001,,6699,,,,
,0.01712014712393284,6699,104,,,
,,6719,104,0.015175345353782177,,
,,6719,104,,0.015602227300405502,
0.001,,6720,,,,
0.001,,6749,,,,
,0.016033153980970383,6749,105,,,
,,6783,105,0.015406928956508636,,
,,6783,105,,0.015873149037361145,
0.001,,6784,,,,
0.001,,6799,,,,
,0.016829118132591248,6799,106,,,
,,6847,106,0.015484139323234558,,
,,6847,106,,0.015547912567853928,
0.001,,6848,,,,
0.001,,6849,,,,
,0.017057742923498154,6849,107,,,
0.001,,6899,,,,
,0.015920577570796013,6899,107,,,
,,6911,107,0.015619289129972458,,
,,6911,107,,0.01584576442837715,
0.001,,6912,,,,
0.001,,6949,,,,
,0.01658828929066658,6949,108,,,
,,6975,108,0.01558712124824524,,
,,6975,108,,0.015828438103199005,
0.001,,6976,,,,
0.001,,6999,,,,
,0.014483247883617878,6999,109,,,
,,7039,109,0.015310881659388542,,
,,7039,109,,0.015676993876695633,
0.001,,7040,,,,
0.001,,7049,,,,
,0.015454688109457493,7049,110,,,
0.001,,7099,,,,
,0.015393439680337906,7099,110,,,
,,7103,110,0.015022147446870804,,
,,7103,110,,0.015483896248042583,
0.001,,7104,,,,
0.001,,7149,,,,
,0.015236853621900082,7149,111,,,
,,7167,111,0.015136726200580597,,
,,7167,111,,0.015712685883045197,
0.001,,7168,,,,
0.001,,7199,,,,
,0.013700293377041817,7199,112,,,
,,7231,112,0.015122179873287678,,
,,7231,112,,0.015582604333758354,
0.001,,7232,,,,
0.001,,7249,,,,
,0.017336925491690636,7249,113,,,
,,7295,113,0.01569376140832901,,
,,7295,113,,0.01601184532046318,
0.001,,7296,,,,
0.001,,7299,,,,
,0.013096974231302738,7299,114,,,
0.001,,7349,,,,
,0.017988301813602448,7349,114,,,
,,7359,114,0.015414618887007236,,
,,7359,114,,0.01581019163131714,
0.001,,7360,,,,
0.001,,7399,,,,
,0.016425268724560738,7399,115,,,
,,7423,115,0.015169424004852772,,
,,7423,115,,0.015886787325143814,
0.001,,7424,,,,
0.001,,7449,,,,
,0.013420190662145615,7449,116,,,
,,7487,116,0.01539648324251175,,
,,7487,116,,0.015478345565497875,
0.001,,7488,,,,
0.001,,7499,,,,
,0.01712219789624214,7499,117,,,
0.001,,7549,,,,
,0.016053033992648125,7549,117,,,
,,7551,117,0.016285378485918045,,
,,7551,117,,0.01546301320195198,
0.001,,7552,,,,
0.001,,7599,,,,
,0.01655779965221882,7599,118,,,
,,7615,118,0.016372591257095337,,
,,7615,118,,0.01620837301015854,
0.001,,7616,,,,
0.001,,7649,,,,
,0.01726670004427433,7649,119,,,
,,7679,119,0.014976195059716702,,
,,7679,119,,0.015804147347807884,
0.001,,7680,,,,
0.001,,7699,,,,
,0.014665009453892708,7699,120,,,
,,7743,120,0.015242895111441612,,
,,7743,120,,0.015399797819554806,
0.001,,7744,,,,
0.001,,7749,,,,
,0.016685035079717636,7749,121,,,
0.001,,7799,,,,
,0.014739896170794964,7799,121,,,
,,7807,121,0.015229711309075356,,
,,7807,121,,0.01559300534427166,
0.001,,7808,,,,
0.001,,7849,,,,
,0.016295891255140305,7849,122,,,
,,7871,122,0.014844791032373905,,
,,7871,122,,0.01549536269158125,
0.001,,7872,,,,
0.001,,7899,,,,
,0.013691886328160763,7899,123,,,
,,7935,123,0.016044164076447487,,
,,7935,123,,0.015671318396925926,
0.001,,7936,,,,
0.001,,7949,,,,
,0.014498217031359673,7949,124,,,
0.001,,7999,,,,
,0.01618480496108532,7999,124,,,
,,7999,124,0.014702721498906612,,
,,7999,124,,0.01554782222956419,
0.001,,8000,,,,
0.001,,8049,,,,
,0.01382602471858263,8049,125,,,
