train_loss_step,epoch,step,lr-Adam,val_loss,train_loss_epoch,test_loss
,80,5183,,0.7950268387794495,,
,80,5183,,,0.7881920337677002,
,,5184,0.001,,,
,,5199,0.001,,,
0.7813720703125,81,5199,,,,
,81,5247,,0.7951387763023376,,
,81,5247,,,0.788325309753418,
,,5248,0.001,,,
,,5249,0.001,,,
0.7680845260620117,82,5249,,,,
,,5299,0.001,,,
0.7847487330436707,82,5299,,,,
,82,5311,,0.7950336933135986,,
,82,5311,,,0.7882089018821716,
,,5312,0.001,,,
,,5349,0.001,,,
0.7839730978012085,83,5349,,,,
,83,5375,,0.7949446439743042,,
,83,5375,,,0.7881214022636414,
,,5376,0.001,,,
,,5399,0.001,,,
0.7628982663154602,84,5399,,,,
,84,5439,,0.7952150702476501,,
,84,5439,,,0.7882001399993896,
,,5440,0.001,,,
,,5449,0.001,,,
0.7908796668052673,85,5449,,,,
,,5499,0.001,,,
0.7563608884811401,85,5499,,,,
,85,5503,,0.7952077388763428,,
,85,5503,,,0.7884071469306946,
,,5504,0.001,,,
,,5549,0.001,,,
0.7675625681877136,86,5549,,,,
,86,5567,,0.794906735420227,,
,86,5567,,,0.7881336808204651,
,,5568,0.001,,,
,,5599,0.001,,,
0.7679761648178101,87,5599,,,,
,87,5631,,0.7949613332748413,,
,87,5631,,,0.7880424857139587,
,,5632,0.001,,,
,,5649,0.001,,,
0.7947453856468201,88,5649,,,,
,88,5695,,0.7949302196502686,,
,88,5695,,,0.7880581021308899,
,,5696,0.001,,,
,,5699,0.001,,,
0.7985773682594299,89,5699,,,,
,,5749,0.001,,,
0.7826355695724487,89,5749,,,,
,89,5759,,0.7949950695037842,,
,89,5759,,,0.7880536913871765,
,,5760,0.001,,,
,,5799,0.001,,,
0.7763071656227112,90,5799,,,,
,90,5823,,0.795337975025177,,
,90,5823,,,0.7880577445030212,
,,5824,0.001,,,
,,5849,0.001,,,
0.7728538513183594,91,5849,,,,
,91,5887,,0.7948880195617676,,
,91,5887,,,0.788145124912262,
,,5888,0.001,,,
,,5899,0.001,,,
0.7994487285614014,92,5899,,,,
,,5949,0.001,,,
0.786364734172821,92,5949,,,,
,92,5951,,0.7949395179748535,,
,92,5951,,,0.7881568074226379,
,,5952,0.001,,,
,,5999,0.001,,,
0.802730917930603,93,5999,,,,
,93,6015,,0.7948904633522034,,
,93,6015,,,0.7880492210388184,
,,6016,0.001,,,
,,6049,0.001,,,
0.8213024735450745,94,6049,,,,
,94,6079,,0.7949771881103516,,
,94,6079,,,0.7880136370658875,
,,6080,0.001,,,
,,6099,0.001,,,
0.8008884787559509,95,6099,,,,
,95,6143,,0.7949003577232361,,
,95,6143,,,0.788028359413147,
,,6144,0.001,,,
,,6149,0.001,,,
0.7935388088226318,96,6149,,,,
,,6199,0.001,,,
0.7715807557106018,96,6199,,,,
,96,6207,,0.7948935627937317,,
,96,6207,,,0.7880524396896362,
,,6208,0.001,,,
,,6249,0.001,,,
0.7832828164100647,97,6249,,,,
,97,6271,,0.7948451042175293,,
,97,6271,,,0.7879918217658997,
,,6272,0.001,,,
,,6299,0.001,,,
0.7945073246955872,98,6299,,,,
,98,6335,,0.7947958707809448,,
,98,6335,,,0.7879840135574341,
,,6336,0.001,,,
,,6349,0.001,,,
0.7776535749435425,99,6349,,,,
,,6399,0.001,,,
0.8010349273681641,99,6399,,,,
,99,6399,,0.7948670983314514,,
,99,6399,,,0.7880169153213501,
,,6400,0.001,,,
,,6449,0.001,,,
0.7882918119430542,100,6449,,,,
,100,6463,,0.7948547601699829,,
,100,6463,,,0.7879709601402283,
,,6464,0.001,,,
,,6499,0.001,,,
0.7836092114448547,101,6499,,,,
,101,6527,,0.7948275804519653,,
,101,6527,,,0.7880721092224121,
,,6528,0.001,,,
,,6549,0.001,,,
0.7614855170249939,102,6549,,,,
,102,6591,,0.7948068976402283,,
,102,6591,,,0.7879137992858887,
,,6592,0.001,,,
,,6599,0.001,,,
0.7625982761383057,103,6599,,,,
,,6649,0.001,,,
0.8133325576782227,103,6649,,,,
,103,6655,,0.7950224280357361,,
,103,6655,,,0.7880331873893738,
,,6656,0.001,,,
,,6699,0.001,,,
0.8045447468757629,104,6699,,,,
,104,6719,,0.7948653697967529,,
,104,6719,,,0.7879219651222229,
,,6720,0.001,,,
,,6749,0.001,,,
0.796945333480835,105,6749,,,,
,105,6783,,0.7947518229484558,,
,105,6783,,,0.7879027724266052,
,,6784,0.001,,,
,,6799,0.001,,,
0.7834659814834595,106,6799,,,,
,106,6847,,0.7947497963905334,,
,106,6847,,,0.7879483103752136,
,,6848,0.001,,,
,,6849,0.001,,,
0.7755882740020752,107,6849,,,,
,,6899,0.001,,,
0.7813104391098022,107,6899,,,,
,107,6911,,0.794960081577301,,
,107,6911,,,0.7878705263137817,
,,6912,0.001,,,
,,6949,0.001,,,
0.8037160038948059,108,6949,,,,
,108,6975,,0.7948011159896851,,
,108,6975,,,0.7882890701293945,
,,6976,0.001,,,
,,6999,0.001,,,
0.7876754403114319,109,6999,,,,
,109,7039,,0.7950696349143982,,
,109,7039,,,0.7880090475082397,
,,7040,0.001,,,
,,7049,0.001,,,
0.7931191921234131,110,7049,,,,
,,7099,0.001,,,
0.7590929269790649,110,7099,,,,
,110,7103,,0.794769287109375,,
,110,7103,,,0.7879571914672852,
,,7104,0.001,,,
,,7149,0.001,,,
0.7895509600639343,111,7149,,,,
,111,7167,,0.7947324514389038,,
,111,7167,,,0.78791743516922,
,,7168,0.001,,,
,,7199,0.001,,,
0.8170442581176758,112,7199,,,,
,112,7231,,0.7949991226196289,,
,112,7231,,,0.7879069447517395,
,,7232,0.001,,,
,,7249,0.001,,,
0.7916423082351685,113,7249,,,,
,113,7295,,0.7947394847869873,,
,113,7295,,,0.787879228591919,
,,7296,0.001,,,
,,7299,0.001,,,
0.7715993523597717,114,7299,,,,
,,7349,0.001,,,
0.8138001561164856,114,7349,,,,
,114,7359,,0.7946985363960266,,
,114,7359,,,0.7879545092582703,
,,7360,0.001,,,
,,7399,0.001,,,
0.7830354571342468,115,7399,,,,
,115,7423,,0.7947875261306763,,
,115,7423,,,0.7878069281578064,
,,7424,0.001,,,
,,7449,0.001,,,
0.7810385823249817,116,7449,,,,
,116,7487,,0.7947515845298767,,
,116,7487,,,0.7879226803779602,
,,7488,0.001,,,
,,7499,0.001,,,
0.8097769021987915,117,7499,,,,
,,7549,0.001,,,
0.7728723883628845,117,7549,,,,
,117,7551,,0.7946552634239197,,
,117,7551,,,0.7877905964851379,
,,7552,0.001,,,
,,7599,0.001,,,
0.7907215356826782,118,7599,,,,
,118,7615,,0.7955687046051025,,
,118,7615,,,0.7879368662834167,
,,7616,0.001,,,
,,7649,0.001,,,
0.7659542560577393,119,7649,,,,
,119,7679,,0.794715404510498,,
,119,7679,,,0.7879987359046936,
,,7680,0.001,,,
,,7699,0.001,,,
0.7642391920089722,120,7699,,,,
,120,7743,,0.7946656346321106,,
,120,7743,,,0.7878567576408386,
,,7744,0.001,,,
,,7749,0.001,,,
0.7770776748657227,121,7749,,,,
,,7799,0.001,,,
0.7703629732131958,121,7799,,,,
,121,7807,,0.7946512699127197,,
,121,7807,,,0.787778913974762,
,,7808,0.001,,,
,,7849,0.001,,,
0.7979139089584351,122,7849,,,,
,122,7871,,0.7954216003417969,,
,122,7871,,,0.7879225611686707,
,,7872,0.001,,,
,,7899,0.001,,,
0.7948390245437622,123,7899,,,,
,123,7935,,0.7947021126747131,,
,123,7935,,,0.7880505323410034,
,,7936,0.001,,,
,,7949,0.001,,,
0.8079397678375244,124,7949,,,,
,,7999,0.001,,,
0.7845970392227173,124,7999,,,,
,124,7999,,0.7946474552154541,,
,124,7999,,,0.787804365158081,
,,8000,0.001,,,
,,8049,0.001,,,
0.799254298210144,125,8049,,,,
,125,8063,,0.794660210609436,,
,125,8063,,,0.7877850532531738,
,,8064,0.001,,,
,,8099,0.001,,,
0.7869457006454468,126,8099,,,,
,126,8127,,0.79460608959198,,
,126,8127,,,0.7877640724182129,
,,8128,0.001,,,
,,8149,0.001,,,
0.7806717157363892,127,8149,,,,
,127,8191,,0.7949583530426025,,
,127,8191,,,0.787857174873352,
,,8192,0.001,,,
,,8199,0.001,,,
0.7967370748519897,128,8199,,,,
,,8249,0.001,,,
0.7949671149253845,128,8249,,,,
,128,8255,,0.7947186231613159,,
,128,8255,,,0.7879456281661987,
,,8256,0.001,,,
,,8299,0.001,,,
0.7593399286270142,129,8299,,,,
,129,8319,,0.7946957349777222,,
,129,8319,,,0.7880032658576965,
,,8320,0.001,,,
,,8349,0.001,,,
0.8012855648994446,130,8349,,,,
,130,8383,,0.7946303486824036,,
,130,8383,,,0.7877905368804932,
,,8384,0.001,,,
,,8399,0.001,,,
0.8235012292861938,131,8399,,,,
,131,8447,,0.7946259379386902,,
,131,8447,,,0.7876646518707275,
,,8448,0.001,,,
,,8449,0.001,,,
0.7821787595748901,132,8449,,,,
,,8499,0.001,,,
0.7985532879829407,132,8499,,,,
,132,8511,,0.794619083404541,,
,132,8511,,,0.7878053188323975,
,,8512,0.001,,,
,,8549,0.001,,,
0.7979005575180054,133,8549,,,,
,133,8575,,0.7945942282676697,,
,133,8575,,,0.7877045273780823,
,,8576,0.001,,,
,,8599,0.001,,,
0.7570497989654541,134,8599,,,,
,134,8639,,0.7946067452430725,,
,134,8639,,,0.7877138257026672,
,,8640,0.001,,,
,,8649,0.001,,,
0.775101900100708,135,8649,,,,
,,8699,0.001,,,
0.7858396172523499,135,8699,,,,
,135,8703,,0.7950853705406189,,
,135,8703,,,0.7878970503807068,
,,8704,0.001,,,
,,8749,0.001,,,
0.8015415072441101,136,8749,,,,
,136,8767,,0.7946077585220337,,
,136,8767,,,0.7879888415336609,
,,8768,0.001,,,
,,8799,0.001,,,
0.7872374057769775,137,8799,,,,
,137,8831,,0.7945711016654968,,
,137,8831,,,0.7877711057662964,
,,8832,0.001,,,
,,8849,0.001,,,
0.775061845779419,138,8849,,,,
,138,8895,,0.7945570349693298,,
,138,8895,,,0.7877048254013062,
,,8896,0.001,,,
,,8899,0.001,,,
0.7949953079223633,139,8899,,,,
,,8949,0.001,,,
0.8033139109611511,139,8949,,,,
,139,8959,,0.794611394405365,,
,139,8959,,,0.7877179384231567,
,,8960,0.001,,,
,,8999,0.001,,,
0.765430748462677,140,8999,,,,
,140,9023,,0.7949973940849304,,
,140,9023,,,0.7879482507705688,
,,9024,0.001,,,
,,9049,0.001,,,
0.783916175365448,141,9049,,,,
,141,9087,,0.794620931148529,,
,141,9087,,,0.7879953980445862,
,,9088,0.001,,,
,,9099,0.001,,,
0.774027407169342,142,9099,,,,
,,9149,0.001,,,
0.7694091200828552,142,9149,,,,
,142,9151,,0.7945865988731384,,
,142,9151,,,0.7877494692802429,
,,9152,0.001,,,
,,9199,0.001,,,
0.7782742381095886,143,9199,,,,
,143,9215,,0.7945352792739868,,
,143,9215,,,0.7876268029212952,
,,9216,0.001,,,
,,9249,0.001,,,
0.8154408931732178,144,9249,,,,
,144,9279,,0.7946993708610535,,
,144,9279,,,0.7876670956611633,
,,9280,0.001,,,
,,9299,0.001,,,
0.8123002648353577,145,9299,,,,
,145,9343,,0.7945230007171631,,
,145,9343,,,0.787704586982727,
,,9344,0.001,,,
,,9349,0.001,,,
0.7842994928359985,146,9349,,,,
,,9399,0.001,,,
0.7924273014068604,146,9399,,,,
,146,9407,,0.794654905796051,,
,146,9407,,,0.7876415848731995,
,,9408,0.001,,,
,,9449,0.001,,,
0.7641607522964478,147,9449,,,,
,147,9471,,0.7952892780303955,,
,147,9471,,,0.7878735661506653,
,,9472,0.001,,,
,,9499,0.001,,,
0.7946571707725525,148,9499,,,,
,148,9535,,0.7945296764373779,,
,148,9535,,,0.7879377007484436,
,,9536,0.001,,,
,,9549,0.001,,,
0.7570316791534424,149,9549,,,,
,,9599,0.001,,,
0.8031739592552185,149,9599,,,,
,149,9599,,0.794522225856781,,
,149,9599,,,0.7876393795013428,
,,9600,0.001,,,
,,9649,0.001,,,
0.795304000377655,150,9649,,,,
,150,9663,,0.7945345640182495,,
,150,9663,,,0.7875854969024658,
,,9664,0.001,,,
,,9699,0.001,,,
0.7755444645881653,151,9699,,,,
,151,9727,,0.7945393919944763,,
,151,9727,,,0.78764408826828,
,,9728,0.001,,,
,,9749,0.001,,,
0.8014474511146545,152,9749,,,,
,152,9791,,0.7946062088012695,,
,152,9791,,,0.7876418232917786,
,,9792,0.001,,,
,,9799,0.001,,,
0.7725372314453125,153,9799,,,,
,,9849,0.001,,,
0.801338255405426,153,9849,,,,
,153,9855,,0.7944931983947754,,
,153,9855,,,0.7877327799797058,
,,9856,0.001,,,
,,9899,0.001,,,
0.7816373109817505,154,9899,,,,
,154,9919,,0.7945529818534851,,
,154,9919,,,0.7876350283622742,
,,9920,0.001,,,
