lr-Adam,train_loss_step,step,epoch,val_loss,train_loss_epoch,test_loss
,0.2573181390762329,3149,49,,,
0.001,,3199,,,,
,0.19138267636299133,3199,49,,,
,,3199,49,0.036069128662347794,,
,,3199,49,,0.23272870481014252,
0.001,,3200,,,,
0.001,,3249,,,,
,0.2655523717403412,3249,50,,,
,,3263,50,0.03796263411641121,,
,,3263,50,,0.2329765260219574,
0.001,,3264,,,,
0.001,,3299,,,,
,0.19501186907291412,3299,51,,,
,,3327,51,0.03493272885680199,,
,,3327,51,,0.23180805146694183,
0.001,,3328,,,,
0.001,,3349,,,,
,0.2942533493041992,3349,52,,,
,,3391,52,0.037898559123277664,,
,,3391,52,,0.23139727115631104,
0.001,,3392,,,,
0.001,,3399,,,,
,0.15314427018165588,3399,53,,,
0.001,,3449,,,,
,0.20293238759040833,3449,53,,,
,,3455,53,0.0334184356033802,,
,,3455,53,,0.23192264139652252,
0.001,,3456,,,,
0.001,,3499,,,,
,0.23066604137420654,3499,54,,,
,,3519,54,0.03427662327885628,,
,,3519,54,,0.22957555949687958,
0.001,,3520,,,,
0.001,,3549,,,,
,0.27910763025283813,3549,55,,,
,,3583,55,0.0340052954852581,,
,,3583,55,,0.22997218370437622,
0.001,,3584,,,,
0.001,,3599,,,,
,0.30009031295776367,3599,56,,,
,,3647,56,0.033216945827007294,,
,,3647,56,,0.23170167207717896,
0.001,,3648,,,,
0.001,,3649,,,,
,0.32231494784355164,3649,57,,,
0.001,,3699,,,,
,0.2739395499229431,3699,57,,,
,,3711,57,0.03304672986268997,,
,,3711,57,,0.22959376871585846,
0.001,,3712,,,,
0.001,,3749,,,,
,0.24173493683338165,3749,58,,,
,,3775,58,0.034400660544633865,,
,,3775,58,,0.22913846373558044,
0.001,,3776,,,,
0.001,,3799,,,,
,0.2104625105857849,3799,59,,,
,,3839,59,0.034325387328863144,,
,,3839,59,,0.23259319365024567,
0.001,,3840,,,,
0.001,,3849,,,,
,0.31293579936027527,3849,60,,,
0.001,,3899,,,,
,0.24057085812091827,3899,60,,,
,,3903,60,0.03289451450109482,,
,,3903,60,,0.23161670565605164,
0.001,,3904,,,,
0.001,,3949,,,,
,0.13327205181121826,3949,61,,,
,,3967,61,0.03620210289955139,,
,,3967,61,,0.23079995810985565,
0.001,,3968,,,,
0.001,,3999,,,,
,0.1854332983493805,3999,62,,,
,,4031,62,0.03898990526795387,,
,,4031,62,,0.2316839098930359,
0.001,,4032,,,,
0.001,,4049,,,,
,0.22854936122894287,4049,63,,,
,,4095,63,0.03308926895260811,,
,,4095,63,,0.23237770795822144,
0.001,,4096,,,,
0.001,,4099,,,,
,0.1502038538455963,4099,64,,,
0.001,,4149,,,,
,0.15201933681964874,4149,64,,,
,,4159,64,0.03198264166712761,,
,,4159,64,,0.22771303355693817,
0.001,,4160,,,,
0.001,,4199,,,,
,0.28432148694992065,4199,65,,,
,,4223,65,0.03456844016909599,,
,,4223,65,,0.22872939705848694,
0.001,,4224,,,,
0.001,,4249,,,,
,0.2480238378047943,4249,66,,,
,,4287,66,0.03253792226314545,,
,,4287,66,,0.22710807621479034,
0.001,,4288,,,,
0.001,,4299,,,,
,0.28742337226867676,4299,67,,,
0.001,,4349,,,,
,0.29542845487594604,4349,67,,,
,,4351,67,0.0346183143556118,,
,,4351,67,,0.22956149280071259,
0.001,,4352,,,,
0.001,,4399,,,,
,0.17609626054763794,4399,68,,,
,,4415,68,0.03442912921309471,,
,,4415,68,,0.22988760471343994,
0.001,,4416,,,,
0.001,,4449,,,,
,0.14443394541740417,4449,69,,,
,,4479,69,0.03670378029346466,,
,,4479,69,,0.22905664145946503,
0.001,,4480,,,,
0.001,,4499,,,,
,0.3042597770690918,4499,70,,,
,,4543,70,0.031247161328792572,,
,,4543,70,,0.23106332123279572,
0.001,,4544,,,,
0.001,,4549,,,,
,0.14694245159626007,4549,71,,,
0.001,,4599,,,,
,0.1885240525007248,4599,71,,,
,,4607,71,0.03288685902953148,,
,,4607,71,,0.22700072824954987,
0.001,,4608,,,,
0.001,,4649,,,,
,0.15691640973091125,4649,72,,,
,,4671,72,0.03266219422221184,,
,,4671,72,,0.22868511080741882,
0.001,,4672,,,,
0.001,,4699,,,,
,0.26931825280189514,4699,73,,,
,,4735,73,0.03184402734041214,,
,,4735,73,,0.22651459276676178,
0.001,,4736,,,,
0.001,,4749,,,,
,0.2847011387348175,4749,74,,,
0.001,,4799,,,,
,0.17440977692604065,4799,74,,,
,,4799,74,0.034038953483104706,,
,,4799,74,,0.22908860445022583,
0.001,,4800,,,,
0.001,,4849,,,,
,0.2712300717830658,4849,75,,,
,,4863,75,0.03148464486002922,,
,,4863,75,,0.22649021446704865,
0.001,,4864,,,,
0.001,,4899,,,,
,0.21333922445774078,4899,76,,,
,,4927,76,0.03101072832942009,,
,,4927,76,,0.2290099710226059,
0.001,,4928,,,,
0.001,,4949,,,,
,0.3109486401081085,4949,77,,,
,,4991,77,0.031455181539058685,,
,,4991,77,,0.2282751351594925,
0.001,,4992,,,,
0.001,,4999,,,,
,0.14156797528266907,4999,78,,,
0.001,,5049,,,,
,0.19376114010810852,5049,78,,,
,,5055,78,0.03218889236450195,,
,,5055,78,,0.227009579539299,
0.001,,5056,,,,
0.001,,5099,,,,
,0.2840734124183655,5099,79,,,
,,5119,79,0.032439351081848145,,
,,5119,79,,0.2279348224401474,
0.001,,5120,,,,
0.001,,5149,,,,
,0.2224852442741394,5149,80,,,
,,5183,80,0.030945731326937675,,
,,5183,80,,0.2286500781774521,
0.001,,5184,,,,
0.001,,5199,,,,
,0.19875657558441162,5199,81,,,
,,5247,81,0.034222155809402466,,
,,5247,81,,0.22744525969028473,
0.001,,5248,,,,
0.001,,5249,,,,
,0.23199184238910675,5249,82,,,
0.001,,5299,,,,
,0.25108790397644043,5299,82,,,
,,5311,82,0.03331723064184189,,
,,5311,82,,0.2305602878332138,
0.001,,5312,,,,
0.001,,5349,,,,
,0.2261815369129181,5349,83,,,
,,5375,83,0.030832257121801376,,
,,5375,83,,0.22788262367248535,
0.001,,5376,,,,
0.001,,5399,,,,
,0.15487384796142578,5399,84,,,
,,5439,84,0.03162591904401779,,
,,5439,84,,0.22656765580177307,
0.001,,5440,,,,
0.001,,5449,,,,
,0.17592856287956238,5449,85,,,
0.001,,5499,,,,
,0.18788862228393555,5499,85,,,
,,5503,85,0.030713273212313652,,
,,5503,85,,0.228074312210083,
0.001,,5504,,,,
0.001,,5549,,,,
,0.11061001569032669,5549,86,,,
,,5567,86,0.031719427555799484,,
,,5567,86,,0.22687499225139618,
0.001,,5568,,,,
0.001,,5599,,,,
,0.2638168931007385,5599,87,,,
,,5631,87,0.0323038250207901,,
,,5631,87,,0.2282228022813797,
0.001,,5632,,,,
0.001,,5649,,,,
,0.254245787858963,5649,88,,,
,,5695,88,0.030990123748779297,,
,,5695,88,,0.22723080217838287,
0.001,,5696,,,,
0.001,,5699,,,,
,0.27440565824508667,5699,89,,,
0.001,,5749,,,,
,0.24096587300300598,5749,89,,,
,,5759,89,0.0338842011988163,,
,,5759,89,,0.22754889726638794,
0.001,,5760,,,,
0.001,,5799,,,,
,0.21393977105617523,5799,90,,,
,,5823,90,0.030416853725910187,,
,,5823,90,,0.2275712639093399,
0.001,,5824,,,,
0.001,,5849,,,,
,0.35859206318855286,5849,91,,,
,,5887,91,0.030801773071289062,,
,,5887,91,,0.2263379544019699,
0.001,,5888,,,,
0.001,,5899,,,,
,0.2905728220939636,5899,92,,,
0.001,,5949,,,,
,0.18283557891845703,5949,92,,,
,,5951,92,0.03057858720421791,,
,,5951,92,,0.22455081343650818,
0.001,,5952,,,,
0.001,,5999,,,,
,0.26854124665260315,5999,93,,,
,,6015,93,0.03038918785750866,,
,,6015,93,,0.22565893828868866,
0.001,,6016,,,,
0.001,,6049,,,,
,0.21790719032287598,6049,94,,,
,,6079,94,0.03241140395402908,,
,,6079,94,,0.22615483403205872,
0.001,,6080,,,,
0.001,,6099,,,,
,0.2131703495979309,6099,95,,,
,,6143,95,0.032395895570516586,,
,,6143,95,,0.22530800104141235,
0.001,,6144,,,,
0.001,,6149,,,,
,0.2111782431602478,6149,96,,,
0.001,,6199,,,,
,0.16231070458889008,6199,96,,,
,,6207,96,0.029627686366438866,,
,,6207,96,,0.22520115971565247,
0.001,,6208,,,,
0.001,,6249,,,,
,0.204135924577713,6249,97,,,
,,6271,97,0.03047650121152401,,
,,6271,97,,0.22659173607826233,
0.001,,6272,,,,
0.001,,6299,,,,
,0.1511646807193756,6299,98,,,
,,6335,98,0.03267572447657585,,
,,6335,98,,0.22635866701602936,
0.001,,6336,,,,
0.001,,6349,,,,
,0.25163647532463074,6349,99,,,
0.001,,6399,,,,
,0.26796311140060425,6399,99,,,
,,6399,99,0.030180731788277626,,
,,6399,99,,0.22547586262226105,
0.001,,6400,,,,
0.001,,6449,,,,
,0.3478041887283325,6449,100,,,
,,6463,100,0.03109213151037693,,
,,6463,100,,0.2243461012840271,
0.001,,6464,,,,
0.001,,6499,,,,
,0.1424240618944168,6499,101,,,
,,6527,101,0.033412810415029526,,
,,6527,101,,0.22616425156593323,
0.001,,6528,,,,
0.001,,6549,,,,
,0.2988547682762146,6549,102,,,
,,6591,102,0.029765380546450615,,
,,6591,102,,0.2243715226650238,
0.001,,6592,,,,
0.001,,6599,,,,
,0.2812412977218628,6599,103,,,
0.001,,6649,,,,
,0.33152124285697937,6649,103,,,
,,6655,103,0.0370047502219677,,
,,6655,103,,0.22482483088970184,
0.001,,6656,,,,
0.001,,6699,,,,
,0.10322357714176178,6699,104,,,
,,6719,104,0.031078511849045753,,
,,6719,104,,0.2255786806344986,
0.001,,6720,,,,
0.001,,6749,,,,
,0.21135149896144867,6749,105,,,
,,6783,105,0.029595093801617622,,
,,6783,105,,0.2242579311132431,
0.001,,6784,,,,
0.001,,6799,,,,
,0.273304283618927,6799,106,,,
,,6847,106,0.03370213136076927,,
,,6847,106,,0.22387714684009552,
0.001,,6848,,,,
0.001,,6849,,,,
,0.21920724213123322,6849,107,,,
0.001,,6899,,,,
,0.2335248440504074,6899,107,,,
,,6911,107,0.0305910836905241,,
