train_loss_step,lr-Adam,epoch,step,val_loss,train_loss_epoch,test_loss
,0.001,,3392,,,
,0.001,,3399,,,
0.7731429934501648,,53,3399,,,
,0.001,,3449,,,
0.7970952391624451,,53,3449,,,
,,53,3455,0.7986667156219482,,
,,53,3455,,0.7920239567756653,
,0.001,,3456,,,
,0.001,,3499,,,
0.7708294987678528,,54,3499,,,
,,54,3519,0.798896312713623,,
,,54,3519,,0.791933536529541,
,0.001,,3520,,,
,0.001,,3549,,,
0.8193673491477966,,55,3549,,,
,,55,3583,0.7986758947372437,,
,,55,3583,,0.7919644117355347,
,0.001,,3584,,,
,0.001,,3599,,,
0.7885761260986328,,56,3599,,,
,,56,3647,0.7985323667526245,,
,,56,3647,,0.7918194532394409,
,0.001,,3648,,,
,0.001,,3649,,,
0.773081362247467,,57,3649,,,
,0.001,,3699,,,
0.7865164279937744,,57,3699,,,
,,57,3711,0.7983713746070862,,
,,57,3711,,0.7917640209197998,
,0.001,,3712,,,
,0.001,,3749,,,
0.7596308588981628,,58,3749,,,
,,58,3775,0.7987073659896851,,
,,58,3775,,0.7919541597366333,
,0.001,,3776,,,
,0.001,,3799,,,
0.799484372138977,,59,3799,,,
,,59,3839,0.7984303832054138,,
,,59,3839,,0.791990339756012,
,0.001,,3840,,,
,0.001,,3849,,,
0.7892553210258484,,60,3849,,,
,0.001,,3899,,,
0.7909941673278809,,60,3899,,,
,,60,3903,0.7983154654502869,,
,,60,3903,,0.7917435169219971,
,0.001,,3904,,,
,0.001,,3949,,,
0.8117587566375732,,61,3949,,,
,,61,3967,0.7987029552459717,,
,,61,3967,,0.7917543053627014,
,0.001,,3968,,,
,0.001,,3999,,,
0.7879343032836914,,62,3999,,,
,,62,4031,0.7983018159866333,,
,,62,4031,,0.791995108127594,
,0.001,,4032,,,
,0.001,,4049,,,
0.8076826930046082,,63,4049,,,
,,63,4095,0.7982312440872192,,
,,63,4095,,0.791607141494751,
,0.001,,4096,,,
,0.001,,4099,,,
0.7806922793388367,,64,4099,,,
,0.001,,4149,,,
0.7858731150627136,,64,4149,,,
,,64,4159,0.7987143397331238,,
,,64,4159,,0.791861891746521,
,0.001,,4160,,,
,0.001,,4199,,,
0.7735403180122375,,65,4199,,,
,,65,4223,0.7981681823730469,,
,,65,4223,,0.7915681004524231,
,0.001,,4224,,,
,0.001,,4249,,,
0.789617657661438,,66,4249,,,
,,66,4287,0.7980858683586121,,
,,66,4287,,0.7914881110191345,
,0.001,,4288,,,
,0.001,,4299,,,
0.7754516005516052,,67,4299,,,
,0.001,,4349,,,
0.7879643440246582,,67,4349,,,
,,67,4351,0.7981099486351013,,
,,67,4351,,0.7913821339607239,
,0.001,,4352,,,
,0.001,,4399,,,
0.8075150847434998,,68,4399,,,
,,68,4415,0.798088788986206,,
,,68,4415,,0.7913627028465271,
,0.001,,4416,,,
,0.001,,4449,,,
0.7976477742195129,,69,4449,,,
,,69,4479,0.7983165383338928,,
,,69,4479,,0.7913464307785034,
,0.001,,4480,,,
,0.001,,4499,,,
0.8158445358276367,,70,4499,,,
,,70,4543,0.7982172966003418,,
,,70,4543,,0.7914201021194458,
,0.001,,4544,,,
,0.001,,4549,,,
0.8130508065223694,,71,4549,,,
,0.001,,4599,,,
0.7763217091560364,,71,4599,,,
,,71,4607,0.7980761528015137,,
,,71,4607,,0.7913244366645813,
,0.001,,4608,,,
,0.001,,4649,,,
0.7862750887870789,,72,4649,,,
,,72,4671,0.798123300075531,,
,,72,4671,,0.7912779450416565,
,0.001,,4672,,,
,0.001,,4699,,,
0.7829881310462952,,73,4699,,,
,,73,4735,0.7983282804489136,,
,,73,4735,,0.7916731238365173,
,0.001,,4736,,,
,0.001,,4749,,,
0.7931120991706848,,74,4749,,,
,0.001,,4799,,,
0.794253408908844,,74,4799,,,
,,74,4799,0.7986739277839661,,
,,74,4799,,0.7918415069580078,
,0.001,,4800,,,
,0.001,,4849,,,
0.8205257058143616,,75,4849,,,
,,75,4863,0.7980028390884399,,
,,75,4863,,0.7915019989013672,
,0.001,,4864,,,
,0.001,,4899,,,
0.7755482792854309,,76,4899,,,
,,76,4927,0.7978919148445129,,
,,76,4927,,0.7911245822906494,
,0.001,,4928,,,
,0.001,,4949,,,
0.7992532849311829,,77,4949,,,
,,77,4991,0.7978510856628418,,
,,77,4991,,0.7911885380744934,
,0.001,,4992,,,
,0.001,,4999,,,
0.7883288860321045,,78,4999,,,
,0.001,,5049,,,
0.7872692942619324,,78,5049,,,
,,78,5055,0.7980883121490479,,
,,78,5055,,0.7911416292190552,
,0.001,,5056,,,
,0.001,,5099,,,
0.804836094379425,,79,5099,,,
,,79,5119,0.7978809475898743,,
,,79,5119,,0.7911850214004517,
,0.001,,5120,,,
,0.001,,5149,,,
0.7743257880210876,,80,5149,,,
,,80,5183,0.7983312010765076,,
,,80,5183,,0.791174054145813,
,0.001,,5184,,,
,0.001,,5199,,,
0.7874096035957336,,81,5199,,,
,,81,5247,0.7980459332466125,,
,,81,5247,,0.792097806930542,
,0.001,,5248,,,
,0.001,,5249,,,
0.7721875905990601,,82,5249,,,
,0.001,,5299,,,
0.7929660677909851,,82,5299,,,
,,82,5311,0.7978630065917969,,
,,82,5311,,0.7911955714225769,
,0.001,,5312,,,
,0.001,,5349,,,
0.7669215798377991,,83,5349,,,
,,83,5375,0.7980300188064575,,
,,83,5375,,0.7910524606704712,
,0.001,,5376,,,
,0.001,,5399,,,
0.805437445640564,,84,5399,,,
,,84,5439,0.797778308391571,,
,,84,5439,,0.7911108136177063,
,0.001,,5440,,,
,0.001,,5449,,,
0.7941942811012268,,85,5449,,,
,0.001,,5499,,,
0.7829497456550598,,85,5499,,,
,,85,5503,0.797653079032898,,
,,85,5503,,0.7910248041152954,
,0.001,,5504,,,
,0.001,,5549,,,
0.8223382234573364,,86,5549,,,
,,86,5567,0.7976945638656616,,
,,86,5567,,0.7910912036895752,
,0.001,,5568,,,
,0.001,,5599,,,
0.820972740650177,,87,5599,,,
,,87,5631,0.7976301312446594,,
,,87,5631,,0.7910744547843933,
,0.001,,5632,,,
,0.001,,5649,,,
0.7721670269966125,,88,5649,,,
,,88,5695,0.7976685762405396,,
,,88,5695,,0.7909275889396667,
,0.001,,5696,,,
,0.001,,5699,,,
0.7993907332420349,,89,5699,,,
,0.001,,5749,,,
0.7877181172370911,,89,5749,,,
,,89,5759,0.7977647185325623,,
,,89,5759,,0.7911956906318665,
,0.001,,5760,,,
,0.001,,5799,,,
0.8206695318222046,,90,5799,,,
,,90,5823,0.7976776361465454,,
,,90,5823,,0.791067898273468,
,0.001,,5824,,,
,0.001,,5849,,,
0.7969112992286682,,91,5849,,,
,,91,5887,0.7975480556488037,,
,,91,5887,,0.7909132242202759,
,0.001,,5888,,,
,0.001,,5899,,,
0.798547625541687,,92,5899,,,
,0.001,,5949,,,
0.7871435880661011,,92,5949,,,
,,92,5951,0.7980837225914001,,
,,92,5951,,0.7908920049667358,
,0.001,,5952,,,
,0.001,,5999,,,
0.8070815205574036,,93,5999,,,
,,93,6015,0.7976081967353821,,
,,93,6015,,0.7909225821495056,
,0.001,,6016,,,
,0.001,,6049,,,
0.788906455039978,,94,6049,,,
,,94,6079,0.7984094023704529,,
,,94,6079,,0.7910031676292419,
,0.001,,6080,,,
,0.001,,6099,,,
0.772567868232727,,95,6099,,,
,,95,6143,0.7974405288696289,,
,,95,6143,,0.7908822894096375,
,0.001,,6144,,,
,0.001,,6149,,,
0.8040157556533813,,96,6149,,,
,0.001,,6199,,,
0.7956619262695312,,96,6199,,,
,,96,6207,0.7975760102272034,,
,,96,6207,,0.7907955050468445,
,0.001,,6208,,,
,0.001,,6249,,,
0.8038942217826843,,97,6249,,,
,,97,6271,0.7974669337272644,,
