train_loss_step,epoch,step,lr-Adam,val_loss,train_loss_epoch,test_loss
,,3849,0.001,,,
0.04890352487564087,60,3849,,,,
,,3899,0.001,,,
0.0551593080163002,60,3899,,,,
,60,3903,,0.05156543105840683,,
,60,3903,,,0.051294486969709396,
,,3904,0.001,,,
,,3949,0.001,,,
0.04837789759039879,61,3949,,,,
,61,3967,,0.050830237567424774,,
,61,3967,,,0.05139347165822983,
,,3968,0.001,,,
,,3999,0.001,,,
0.056037358939647675,62,3999,,,,
,62,4031,,0.05096830800175667,,
,62,4031,,,0.05091867595911026,
,,4032,0.001,,,
,,4049,0.001,,,
0.057382144033908844,63,4049,,,,
,63,4095,,0.055983494967222214,,
,63,4095,,,0.05151598900556564,
,,4096,0.001,,,
,,4099,0.001,,,
0.05925826355814934,64,4099,,,,
,,4149,0.001,,,
0.051177773624658585,64,4149,,,,
,64,4159,,0.05103868991136551,,
,64,4159,,,0.05217226222157478,
,,4160,0.001,,,
,,4199,0.001,,,
0.05419404059648514,65,4199,,,,
,65,4223,,0.05067359283566475,,
,65,4223,,,0.05055779218673706,
,,4224,0.001,,,
,,4249,0.001,,,
0.05491252616047859,66,4249,,,,
,66,4287,,0.050967223942279816,,
,66,4287,,,0.05047052353620529,
,,4288,0.001,,,
,,4299,0.001,,,
0.05033333972096443,67,4299,,,,
,,4349,0.001,,,
0.04780583083629608,67,4349,,,,
,67,4351,,0.05155971273779869,,
,67,4351,,,0.05048420652747154,
,,4352,0.001,,,
,,4399,0.001,,,
0.04755466431379318,68,4399,,,,
,68,4415,,0.050807420164346695,,
,68,4415,,,0.05059005320072174,
,,4416,0.001,,,
,,4449,0.001,,,
0.04983915016055107,69,4449,,,,
,69,4479,,0.05074142664670944,,
,69,4479,,,0.05024629458785057,
,,4480,0.001,,,
,,4499,0.001,,,
0.04702766239643097,70,4499,,,,
,70,4543,,0.05125631019473076,,
,70,4543,,,0.05063307285308838,
,,4544,0.001,,,
,,4549,0.001,,,
0.051289599388837814,71,4549,,,,
,,4599,0.001,,,
0.04717225581407547,71,4599,,,,
,71,4607,,0.0505683571100235,,
,71,4607,,,0.05034191533923149,
,,4608,0.001,,,
,,4649,0.001,,,
0.05094844475388527,72,4649,,,,
,72,4671,,0.05074819177389145,,
,72,4671,,,0.050067104399204254,
,,4672,0.001,,,
,,4699,0.001,,,
0.0525100938975811,73,4699,,,,
,73,4735,,0.04995858669281006,,
,73,4735,,,0.05055755376815796,
,,4736,0.001,,,
,,4749,0.001,,,
0.0522402785718441,74,4749,,,,
,,4799,0.001,,,
0.05383407324552536,74,4799,,,,
,74,4799,,0.05041377246379852,,
,74,4799,,,0.05049971863627434,
,,4800,0.001,,,
,,4849,0.001,,,
0.04906957224011421,75,4849,,,,
,75,4863,,0.05018468573689461,,
,75,4863,,,0.05021645128726959,
,,4864,0.001,,,
,,4899,0.001,,,
0.04811328276991844,76,4899,,,,
,76,4927,,0.05029663071036339,,
,76,4927,,,0.05002808943390846,
,,4928,0.001,,,
,,4949,0.001,,,
0.04840352386236191,77,4949,,,,
,77,4991,,0.04986023157835007,,
,77,4991,,,0.05012928694486618,
,,4992,0.001,,,
,,4999,0.001,,,
0.04768039286136627,78,4999,,,,
,,5049,0.001,,,
0.04901214689016342,78,5049,,,,
,78,5055,,0.050145819783210754,,
,78,5055,,,0.05043970048427582,
,,5056,0.001,,,
,,5099,0.001,,,
0.04994003102183342,79,5099,,,,
,79,5119,,0.050578851252794266,,
,79,5119,,,0.05020616576075554,
,,5120,0.001,,,
,,5149,0.001,,,
0.04786930978298187,80,5149,,,,
,80,5183,,0.0513819083571434,,
,80,5183,,,0.04994712397456169,
,,5184,0.001,,,
,,5199,0.001,,,
0.04292970895767212,81,5199,,,,
,81,5247,,0.049683552235364914,,
,81,5247,,,0.05064908787608147,
,,5248,0.001,,,
,,5249,0.001,,,
0.0473506823182106,82,5249,,,,
,,5299,0.001,,,
0.05500715598464012,82,5299,,,,
